SITE A,SITE B,TRUNK,VERT. A,VERT. B,HORIZ. A,HORIZ. B,DATA ATIVACAO
RPCGR,RPNAS1,2,3,1,4,2,2019-01-30 00:00:00
OMCGR,RPCGR,1,1,1,2,2,2000-01-01 0:00:00
RPCGR,RPNAS1,2,3,1,4,2,2000-01-01 0:00:00
RPNAS1,RPNAS,1,3,1,4,2,2000-01-01 0:00:00
RPNAS,RPRBR,2,3,1,4,2,2000-01-01 0:00:00
RPRBR,RPDOU,1,3,1,4,2,2017-09-10 05:00:00
RPDOU,OMDOU,2,3,1,4,2,2017-09-10 05:00:00
OMDOU,RPPPR,1,3,1,4,2,2017-09-10 05:00:00
RPPPR,RPAMO1,3,5,1,6,2,2017-09-10 05:00:00
RPAMO1,RPAMO,1,3,1,4,2,2017-09-10 05:00:00
RPAMO,RPAMB,2,3,3,4,4,2017-09-10 05:00:00
RPAMB,RPTCU,3,3,1,4,2,2017-09-10 05:00:00
RPTCU,OMIGT,1,3,1,4,2,2017-09-10 05:00:00
OMIGT,OMMNO,2,3,1,4,2,2017-09-10 05:00:00
OMMNO,OMGUA,1,3,1,4,2,2017-09-10 05:00:00
RPAMB,OMAMB,1,1,2,1,2,2017-09-10 05:00:00
RPPPR,OMPPR,2,3,1,4,2,2017-09-10 05:00:00
RPPPR,OMCCL,4,7,1,8,2,2017-09-10 05:00:00
OMCCL,RPATJ,1,3,1,4,2,2017-09-10 05:00:00
RPATJ,OMBLV,2,3,1,4,2,2017-09-10 05:00:00
OMCGR,OMRCB,3,5,1,6,2,2017-09-10 05:00:00
OMCGR,RPNVL,2,3,1,4,2,2017-09-10 05:00:00
RPNVL,RPBND,3,5,1,6,2,2018-11-10 05:00:00
RPNVL,RPTRN,1,3,1,4,2,2017-09-10 05:00:00
RPTRN,RPFDI,2,3,1,4,2,2017-09-10 05:00:00
RPFDI,RPMPX,1,3,1,4,2,2017-09-10 05:00:00
RPMPX,RPSPE,2,3,1,4,2,2017-09-10 05:00:00
RPSPE,RPNOQ,1,3,3,4,4,2017-09-10 05:00:00
RPNOQ,OMNOQ,3,5,1,6,2,2017-09-10 05:00:00
RPNOQ,OMJRD,2,1,1,2,2,2017-09-10 05:00:00
OMJRD,RPJRD,1,1,3,2,4,2018-11-05 05:00:00
RPJRD,RPMMA,2,2,4,1,3,2018-10-10 05:00:00
RPMMA,OMCARC,3,5,1,6,2,2017-09-10 05:00:00
RPMMA,OMBLV,1,1,3,2,4,2017-09-10 05:00:00
RPMPX,RPMRD,3,5,5,6,6,2018-10-10 05:00:00
RPMRD,OMAQD,2,3,1,4,2,2018-10-10 05:00:00
RPMRD,RPFGR,1,1,1,2,2,2018-10-10 05:00:00
