dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:35.0,2018-02-03 11:13:15.0,1060,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-05 16:40:36.0,2018-02-05 19:39:35.0,10739,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-10 00:59:35.0,2018-02-10 01:17:28.0,1073,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-16 15:22:28.0,2018-02-16 15:26:28.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-16 15:57:28.0,2018-02-16 16:00:45.0,197,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-24 00:59:34.0,2018-02-24 01:17:56.0,1102,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-03 00:59:34.0,2018-03-03 01:18:11.0,1117,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-10 00:59:33.0,2018-03-10 01:18:26.0,1133,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-17 00:59:32.0,2018-03-17 01:18:40.0,1148,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-17 12:07:40.0,2018-03-17 12:17:40.0,600,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-17 12:24:40.0,2018-03-17 13:07:56.0,2596,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-19 09:53:40.0,2018-03-19 10:01:48.0,488,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-19 10:01:48.0,2018-03-20 14:58:37.0,104209,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-24 00:59:32.0,2018-03-24 01:18:54.0,1162,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-04-05 04:32:31.0,2018-04-05 04:35:31.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-04-07 00:59:30.0,2018-04-07 01:19:23.0,1193,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-04-09 02:44:24.0,2018-04-09 02:49:23.0,299,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
