dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-10-25 16:59:22.0,2017-10-25 17:00:22.0,60,,4,1
2017-10-30 06:51:32.0,2017-10-30 06:52:32.0,60,,4,1
2017-10-30 06:58:31.0,2017-10-30 06:59:31.0,60,,4,1
2017-10-30 07:00:31.0,2017-10-30 07:02:32.0,121,,4,1
2017-10-30 08:50:14.0,2017-10-30 08:52:59.0,165,,4,1
2017-11-10 00:18:54.0,2017-11-10 00:19:54.0,60,,4,1
2017-11-21 14:26:11.0,2017-11-21 14:27:11.0,60,,4,1
2017-11-21 14:29:11.0,2017-11-21 14:30:11.0,60,,4,1
2018-02-06 23:32:13.0,2018-02-06 23:33:13.0,60,,4,1
2018-02-19 16:46:22.0,2018-02-19 16:47:23.0,61,,4,1
2018-02-19 16:50:23.0,2018-02-19 16:51:22.0,59,,4,1
2018-02-19 16:54:22.0,2018-02-19 16:55:22.0,60,,4,1
2018-02-24 05:40:37.0,2018-02-24 05:41:37.0,60,,4,1
2018-02-24 05:53:37.0,2018-02-24 05:54:37.0,60,,4,1
2018-03-28 17:05:40.0,2018-03-28 17:07:40.0,120,,4,1
2018-04-09 22:30:09.0,2018-04-09 22:31:09.0,60,,4,1
