dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-12 14:58:00.0,2017-10-12 15:03:23.0,2017-10-12 15:05:00.0,420,323,RD01_MSRPAMO1,97,5363014
2017-10-12 15:08:00.0,2017-10-12 15:11:12.0,2017-10-12 15:13:02.0,302,192,RD01_MSRPAMO1,110,277
2017-10-27 16:38:30.0,2017-10-27 16:39:28.0,2017-10-27 17:23:30.0,2700,58,RD01_MSRPAMO1,2642,1297640
2017-11-03 19:53:44.0,2017-11-03 19:57:27.0,2017-11-03 19:58:46.0,302,223,RD01_MSRPAMO1,79,616455
2017-11-03 20:13:45.0,2017-11-03 20:16:15.0,2017-11-03 20:18:44.0,299,150,RD01_MSRPAMO1,149,978
2017-11-03 20:18:44.0,2017-11-03 20:28:43.0,2017-11-03 20:33:44.0,900,599,RD01_MSRPAMO1,301,149
2017-11-14 14:34:05.0,2017-11-16 12:17:53.0,2017-11-16 12:23:41.0,164976,164628,RD01_MSRPAMO1,348,929123
2017-11-16 13:44:09.0,2017-11-16 14:39:36.0,2017-11-16 14:41:07.0,3418,3327,RD01_MSRPAMO1,91,5176
2017-11-16 14:41:07.0,2017-11-16 15:03:59.0,2017-11-16 15:05:12.0,1445,1372,RD01_MSRPAMO1,73,91
2017-11-16 16:29:10.0,2017-11-16 16:31:35.0,2017-11-16 16:34:10.0,300,145,RD01_MSRPAMO1,155,5110
2017-11-16 17:34:10.0,2017-11-16 17:43:16.0,2017-11-16 17:49:10.0,900,546,RD01_MSRPAMO1,354,3755
2017-11-16 17:59:10.0,2017-11-20 15:32:18.0,2017-11-20 15:35:25.0,336975,336788,RD01_MSRPAMO1,187,954
2017-11-24 11:36:13.0,2017-11-24 11:56:43.0,2017-11-24 12:01:28.0,1515,1230,RD01_MSRPAMO1,285,332274
2017-12-11 16:56:12.0,2017-12-11 17:11:25.0,2017-12-11 17:26:10.0,1798,913,RD01_MSRPAMO1,885,1486754
2017-12-12 11:31:10.0,2017-12-12 11:41:27.0,2017-12-12 11:46:10.0,900,617,RD01_MSRPAMO1,283,65984
2017-12-12 11:46:10.0,2017-12-12 11:51:58.0,2017-12-12 11:53:50.0,460,348,RD01_MSRPAMO1,112,283
2017-12-12 12:01:10.0,2017-12-12 12:05:37.0,2017-12-12 12:07:25.0,375,267,RD01_MSRPAMO1,108,552
2017-12-12 12:07:25.0,2017-12-12 12:18:02.0,2017-12-12 12:36:10.0,1725,637,RD01_MSRPAMO1,1088,108
2017-12-13 14:31:10.0,2017-12-13 15:07:11.0,2017-12-13 15:09:07.0,2277,2161,RD01_MSRPAMO1,116,94388
2017-12-13 15:09:07.0,2017-12-13 16:05:31.0,2017-12-13 16:06:49.0,3462,3384,RD01_MSRPAMO1,78,116
2017-12-13 16:06:49.0,2017-12-13 16:39:02.0,2017-12-13 16:41:22.0,2073,1933,RD01_MSRPAMO1,140,78
2017-12-13 16:41:22.0,2017-12-13 16:53:45.0,2017-12-13 16:56:19.0,897,743,RD01_MSRPAMO1,154,140
2018-01-11 11:06:57.0,2018-01-11 11:12:22.0,2018-01-11 11:13:51.0,414,325,RD01_MSRPAMO1,89,2484792
2018-01-11 15:31:57.0,2018-01-11 15:35:49.0,2018-01-11 15:41:58.0,601,232,RD01_MSRPAMO1,369,15575
2018-01-26 11:41:56.0,2018-01-26 11:46:04.0,2018-01-26 11:51:56.0,600,248,RD01_MSRPAMO1,352,1281967
2017-09-12 15:12:07.0,2017-09-12 15:17:38.0,2017-09-12 15:19:46.0,459,331,RD02_MSRPAMO1,128,7766942
2017-09-12 15:19:46.0,2017-09-12 15:21:46.0,2017-09-12 15:27:06.0,440,120,RD02_MSRPAMO1,320,128
2017-12-12 12:01:18.0,2017-12-12 12:09:25.0,2017-12-12 12:16:19.0,901,487,RD03_MSRPAMO1,414,25724237
2018-04-11 14:30:14.0,2018-04-11 14:33:37.0,2018-04-11 14:40:14.0,600,203,RD03_MSRPAMO1,397,10378899
2017-10-01 16:17:52.0,2017-10-01 16:40:14.0,2017-10-01 17:08:04.0,3012,1342,RD04_MSRPAMO1,1670,9423445
2017-11-03 20:18:56.0,2017-11-03 20:28:03.0,2017-11-03 20:33:57.0,901,547,RD04_MSRPAMO1,354,2860720
2017-11-14 14:54:18.0,2017-11-14 14:56:47.0,2017-11-14 14:59:17.0,299,149,RD04_MSRPAMO1,150,930376
2017-11-14 15:59:18.0,2017-11-14 16:00:25.0,2017-11-14 16:04:17.0,299,67,RD04_MSRPAMO1,232,3750
