dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:40.0,2018-02-03 11:13:19.0,1059,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-05 16:40:39.0,2018-02-05 19:39:40.0,10741,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 07:38:39.0,2018-02-09 07:45:39.0,420,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-10 00:59:39.0,2018-02-10 01:17:32.0,1073,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-24 00:59:37.0,2018-02-24 01:18:00.0,1103,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 00:59:37.0,2018-03-03 01:18:15.0,1118,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-10 00:59:36.0,2018-03-10 01:18:30.0,1134,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 00:59:36.0,2018-03-17 01:18:44.0,1148,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 12:06:45.0,2018-03-17 12:16:20.0,575,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 12:24:44.0,2018-03-17 13:08:04.0,2600,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-19 09:53:44.0,2018-03-19 10:01:52.0,488,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-19 10:01:52.0,2018-03-20 14:58:37.0,104205,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-24 00:59:35.0,2018-03-24 01:18:58.0,1163,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-07 00:59:34.0,2018-04-07 01:19:27.0,1193,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-09 02:44:27.0,2018-04-09 02:49:27.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
