dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-06 17:22:23.0,2017-09-06 17:39:41.0,2017-09-06 17:42:20.0,1197,1038,RD04_MSRPNAS,159,13230838
2017-11-09 15:26:47.0,2017-11-09 15:31:20.0,2017-11-09 15:37:18.0,631,273,RD04_MSRPNAS,358,5518015
2018-03-31 19:47:48.0,2018-03-31 19:53:13.0,2018-03-31 19:55:38.0,470,325,RD04_MSRPNAS,145,12286818
2017-09-06 16:32:25.0,2017-09-06 17:02:27.0,2017-10-01 20:48:18.0,2175353,1802,RD03_MSRPNAS,2173551,13228911
2017-10-06 18:53:28.0,2017-10-06 18:55:33.0,2017-10-06 18:58:28.0,300,125,RD03_MSRPNAS,175,2598661
2017-11-09 15:51:51.0,2017-11-09 15:52:50.0,2017-11-09 15:56:51.0,300,59,RD03_MSRPNAS,241,2922978
2017-09-06 17:41:54.0,2017-09-06 17:44:59.0,2017-09-06 17:51:55.0,601,185,RD02_MSRPNAS,416,1043502
2017-10-10 11:41:34.0,2017-10-10 11:43:05.0,2017-10-10 11:46:43.0,309,91,RD02_MSRPNAS,218,2915784
2018-03-31 19:38:39.0,2018-03-31 19:43:37.0,2018-03-31 19:45:43.0,424,298,RD02_MSRPNAS,126,14888376
2018-03-31 19:33:42.0,2018-03-31 19:38:58.0,2018-03-31 19:41:32.0,470,316,RD01_MSRPNAS,154,20911114
