dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-02 05:46:33.0,2017-10-03 19:54:14.0,2017-10-03 20:21:04.0,138871,137261,MSRPPPR_SWL3,1610,6416292
2017-10-23 16:08:17.0,2017-10-23 16:09:28.0,2017-10-23 16:14:16.0,359,71,MSRPPPR_SWL3,288,1710874
2017-10-28 02:26:27.0,2017-10-28 12:39:35.0,2017-10-28 13:37:33.0,40266,36788,MSRPPPR_SWL3,3478,382625
2018-03-19 19:12:15.0,2018-03-19 19:30:48.0,2018-03-19 19:42:15.0,1800,1113,MSRPPPR_SWL3,687,12296600
2017-10-02 05:46:51.0,2017-10-03 19:53:34.0,2017-10-03 21:48:31.0,144100,137203,SW01A_MSRPPPR,6897,3258289
2017-10-28 02:22:44.0,2017-10-28 12:38:59.0,2017-10-28 14:25:05.0,43341,36975,SW01A_MSRPPPR,6366,2093351
2017-10-28 14:32:45.0,2017-10-28 14:34:41.0,2017-10-28 14:37:46.0,301,116,SW01A_MSRPPPR,185,6826
2017-10-02 05:46:52.0,2017-10-03 19:53:34.0,2017-10-03 21:48:13.0,144081,137202,SW01B_MSRPPPR,6879,18865326
2017-10-28 02:22:45.0,2017-10-28 12:38:59.0,2017-10-28 13:37:28.0,40483,36974,SW01B_MSRPPPR,3509,2093352
2017-10-02 05:46:57.0,2017-10-03 19:53:34.0,2017-10-03 21:49:32.0,144155,137197,SW02A_MSRPPPR,6958,6415964
2017-10-28 02:22:50.0,2017-10-28 12:38:59.0,2017-10-28 13:37:31.0,40481,36969,SW02A_MSRPPPR,3512,2093357
2018-01-24 17:10:37.0,2018-01-24 17:11:39.0,2018-01-24 17:15:37.0,300,62,SW02A_MSRPPPR,238,7619683
2017-10-02 05:46:09.0,2017-10-03 19:53:34.0,2017-10-03 21:48:26.0,144137,137245,SW02B_MSRPPPR,6892,6415962
2017-10-28 02:27:02.0,2017-10-28 12:38:59.0,2017-10-28 13:38:31.0,40289,36717,SW02B_MSRPPPR,3572,2093609
