dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-01 16:50:05.0,2017-09-01 18:23:17.0,2017-09-01 18:27:14.0,5829,5592,MSRPTCU_SWL3,237,2440815
2017-09-07 02:50:35.0,2017-09-07 16:16:14.0,2017-09-07 16:19:45.0,48550,48339,MSRPTCU_SWL3,211,462429
2017-09-09 07:05:41.0,2017-09-09 07:20:33.0,2017-09-09 07:24:40.0,1139,892,MSRPTCU_SWL3,247,139770
2017-09-24 14:51:13.0,2017-09-24 15:06:51.0,2017-09-24 15:11:11.0,1198,938,MSRPTCU_SWL3,260,1323066
2017-09-27 10:54:19.0,2017-09-27 13:37:55.0,2017-09-27 13:42:15.0,10076,9816,MSRPTCU_SWL3,260,244052
2017-10-01 17:21:28.0,2017-10-03 13:15:28.0,2017-10-03 20:21:33.0,183605,158040,MSRPTCU_SWL3,25565,359021
2018-02-23 10:34:19.0,2018-02-23 13:44:56.0,2018-02-23 13:49:18.0,11699,11437,MSRPTCU_SWL3,262,12345127
2018-02-23 13:52:18.0,2018-02-23 15:11:11.0,2018-02-23 15:15:22.0,4984,4733,MSRPTCU_SWL3,251,442
2018-02-26 07:04:33.0,2018-02-26 10:45:51.0,2018-02-26 10:49:59.0,13526,13278,MSRPTCU_SWL3,248,229998
2017-09-01 16:46:04.0,2017-09-01 18:34:10.0,2017-09-02 13:30:42.0,74678,6486,SW01A_MSRPTCU,68192,2435772
2017-09-07 02:51:34.0,2017-09-07 16:15:37.0,2017-09-07 16:19:45.0,48491,48243,SW01A_MSRPTCU,248,462501
2017-09-09 07:01:38.0,2017-09-09 07:19:57.0,2017-09-09 07:24:06.0,1348,1099,SW01A_MSRPTCU,249,139558
2017-09-24 14:52:10.0,2017-09-24 15:06:15.0,2017-09-24 15:10:10.0,1080,845,SW01A_MSRPTCU,235,1323129
2017-09-27 10:52:15.0,2017-09-27 13:37:19.0,2017-09-27 13:41:19.0,10144,9904,SW01A_MSRPTCU,240,243960
2017-10-01 17:22:24.0,2017-10-03 13:14:55.0,2017-10-03 19:57:59.0,182135,157951,SW01A_MSRPTCU,24184,359104
2018-02-23 10:33:02.0,2018-02-23 13:44:17.0,2018-02-23 13:49:08.0,11766,11475,SW01A_MSRPTCU,291,12344646
2018-02-23 13:49:08.0,2018-02-23 15:10:37.0,2018-02-23 15:14:46.0,5138,4889,SW01A_MSRPTCU,249,291
2018-02-26 07:03:18.0,2018-02-26 10:45:17.0,2018-02-26 10:49:12.0,13554,13319,SW01A_MSRPTCU,235,229945
2017-09-01 16:46:08.0,2017-09-01 18:34:10.0,2017-09-02 13:32:31.0,74783,6482,SW01B_MSRPTCU,68301,2435176
2017-09-07 02:51:37.0,2017-09-07 16:15:36.0,2017-09-07 16:20:17.0,48520,48239,SW01B_MSRPTCU,281,462502
2017-09-09 07:01:43.0,2017-09-09 07:19:57.0,2017-09-09 07:23:43.0,1320,1094,SW01B_MSRPTCU,226,139561
2017-09-24 14:52:14.0,2017-09-24 15:06:15.0,2017-09-24 15:10:54.0,1120,841,SW01B_MSRPTCU,279,1323133
2017-09-27 10:52:19.0,2017-09-27 13:37:19.0,2017-09-27 13:41:49.0,10170,9900,SW01B_MSRPTCU,270,243964
2017-10-01 17:22:27.0,2017-10-03 13:14:55.0,2017-10-03 19:57:40.0,182113,157948,SW01B_MSRPTCU,24165,359108
