dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-24 14:55:07.0,2017-09-24 15:09:07.0,840,,4,1
2017-09-27 10:57:13.0,2017-09-27 13:40:14.0,9781,,4,1
2017-10-01 17:25:22.0,2017-10-03 20:22:26.0,183424,,4,1
2017-10-21 22:20:03.0,2017-10-21 22:28:03.0,480,,4,1
2017-11-18 08:11:57.0,2017-11-18 08:13:57.0,120,,4,1
2018-01-21 03:34:14.0,2018-01-21 03:35:14.0,60,,4,1
2018-02-04 01:46:04.0,2018-02-04 01:47:03.0,59,,4,1
2018-02-23 10:36:12.0,2018-02-23 13:47:12.0,11460,,4,1
2018-02-23 13:53:12.0,2018-02-23 15:04:12.0,4260,,4,1
2018-02-23 15:06:12.0,2018-02-23 15:13:12.0,420,,4,1
2018-02-26 07:07:27.0,2018-02-26 10:47:28.0,13201,,4,1
2018-03-06 04:29:42.0,2018-03-06 04:30:42.0,60,,4,1
2018-03-08 07:31:05.0,2018-03-08 07:32:05.0,60,,4,1
2018-03-08 07:37:05.0,2018-03-08 07:38:05.0,60,,4,1
2018-03-08 07:44:04.0,2018-03-08 07:45:04.0,60,,4,1
2018-03-09 07:59:05.0,2018-03-09 08:00:05.0,60,,4,1
2018-03-09 08:03:05.0,2018-03-09 08:05:05.0,120,,4,1
2018-03-11 01:14:58.0,2018-03-11 01:15:58.0,60,,4,1
2018-05-03 11:08:03.0,2018-05-03 14:25:46.0,11863,,4,1
2018-05-10 12:09:05.0,2018-05-10 13:10:01.0,3656,,4,1
2018-05-10 14:02:01.0,2018-05-10 14:06:01.0,240,,4,1
2018-05-10 15:33:01.0,2018-05-10 15:39:01.0,360,,4,1
2018-05-24 06:35:31.0,2018-05-24 06:36:30.0,59,,4,1
