dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-12 08:50:52.0,2017-09-12 08:51:51.0,59,,4,1
2017-09-14 21:37:57.0,2017-09-14 21:38:57.0,60,,4,1
2017-09-14 21:39:57.0,2017-09-14 21:40:57.0,60,,4,1
2017-09-14 21:43:57.0,2017-09-14 21:45:56.0,119,,4,1
2017-09-14 23:34:57.0,2017-09-14 23:35:57.0,60,,4,1
2017-09-15 01:26:57.0,2017-09-15 01:27:57.0,60,,4,1
2017-09-15 04:49:57.0,2017-09-15 04:52:57.0,180,,4,1
2017-09-15 05:01:57.0,2017-09-15 05:02:58.0,61,,4,1
2017-09-15 07:49:58.0,2017-09-15 07:50:57.0,59,,4,1
2017-09-15 08:30:58.0,2017-09-15 08:31:58.0,60,,4,1
2017-09-15 08:40:50.0,2017-09-15 08:40:58.0,8,,4,1
2017-09-15 08:52:58.0,2017-09-15 08:53:57.0,59,,4,1
2017-09-18 06:38:04.0,2017-09-18 06:39:04.0,60,,4,1
2017-09-23 01:07:14.0,2017-09-23 01:08:14.0,60,,4,1
2017-09-23 01:51:15.0,2017-09-23 01:52:14.0,59,,4,1
2017-09-23 03:59:14.0,2017-09-23 04:00:14.0,60,,4,1
2017-09-23 06:39:14.0,2017-09-23 06:40:14.0,60,,4,1
2017-09-23 07:08:15.0,2017-09-23 07:09:14.0,59,,4,1
2017-09-23 07:11:14.0,2017-09-23 07:12:14.0,60,,4,1
2017-09-23 07:28:15.0,2017-09-23 07:29:14.0,59,,4,1
2017-09-23 07:35:14.0,2017-09-23 07:36:15.0,61,,4,1
2017-09-23 08:04:15.0,2017-09-23 08:08:49.0,274,,4,1
2017-09-25 11:44:19.0,2017-09-25 11:45:19.0,60,,4,1
2017-09-25 20:04:20.0,2017-09-25 20:05:20.0,60,,4,1
2017-09-25 20:21:20.0,2017-09-25 20:22:19.0,59,,4,1
2017-10-01 16:22:32.0,2017-10-01 16:23:32.0,60,,4,1
2017-10-01 16:24:32.0,2017-10-01 16:25:32.0,60,,4,1
2017-10-01 16:29:32.0,2017-10-01 16:30:32.0,60,,4,1
2017-10-01 16:35:32.0,2017-10-01 17:05:33.0,1801,,4,1
2017-10-01 17:07:32.0,2017-10-01 17:08:32.0,60,,4,1
2017-10-01 22:07:32.0,2017-10-01 22:08:33.0,61,,4,1
2017-10-02 02:25:33.0,2017-10-02 02:27:33.0,120,,4,1
2017-10-12 02:14:53.0,2017-10-12 02:15:53.0,60,,4,1
2017-10-12 02:19:53.0,2017-10-12 02:20:53.0,60,,4,1
2017-10-12 02:22:53.0,2017-10-12 02:24:53.0,120,,4,1
2017-10-12 02:25:53.0,2017-10-12 02:28:09.0,136,,4,1
2017-10-13 00:27:55.0,2017-10-13 00:28:55.0,60,,4,1
2017-10-18 06:07:06.0,2017-10-18 06:08:06.0,60,,4,1
2017-10-18 06:09:06.0,2017-10-18 06:10:06.0,60,,4,1
2017-10-18 06:19:06.0,2017-10-18 06:20:06.0,60,,4,1
2017-10-19 02:06:07.0,2017-10-19 02:08:07.0,120,,4,1
2017-10-19 03:57:08.0,2017-10-19 03:58:08.0,60,,4,1
2017-10-20 03:01:09.0,2017-10-20 03:02:10.0,61,,4,1
