dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-12 21:44:51.0,2017-09-12 21:45:52.0,61,,4,1
2017-09-15 00:50:56.0,2017-09-15 00:52:56.0,120,,4,1
2017-09-15 02:43:01.0,2017-09-15 02:43:56.0,55,,4,1
2017-09-15 02:47:59.0,2017-09-15 02:48:56.0,57,,4,1
2017-09-15 08:06:02.0,2017-09-15 08:06:56.0,54,,4,1
2017-09-15 08:12:56.0,2017-09-15 08:13:56.0,60,,4,1
2017-09-15 08:15:57.0,2017-09-15 08:16:56.0,59,,4,1
2017-09-15 08:19:09.0,2017-09-15 08:19:56.0,47,,4,1
2017-09-15 08:22:56.0,2017-09-15 08:27:57.0,301,,4,1
2017-09-15 08:41:57.0,2017-09-15 08:42:57.0,60,,4,1
2017-09-15 08:49:56.0,2017-09-15 08:51:03.0,67,,4,1
2017-09-15 08:56:56.0,2017-09-15 08:57:56.0,60,,4,1
2017-09-15 09:10:57.0,2017-09-15 09:11:57.0,60,,4,1
2017-09-18 07:50:03.0,2017-09-18 07:54:03.0,240,,4,1
2017-09-18 07:58:03.0,2017-09-18 07:59:03.0,60,,4,1
2017-09-18 08:04:03.0,2017-09-18 08:06:03.0,120,,4,1
2017-09-18 08:07:03.0,2017-09-18 08:10:03.0,180,,4,1
2017-09-18 08:12:03.0,2017-09-18 08:14:03.0,120,,4,1
2017-09-18 08:52:03.0,2017-09-18 08:54:03.0,120,,4,1
2017-09-19 03:53:04.0,2017-09-19 03:54:05.0,61,,4,1
2017-09-19 04:21:04.0,2017-09-19 04:23:04.0,120,,4,1
2017-09-19 05:08:05.0,2017-09-19 05:09:05.0,60,,4,1
2017-09-19 05:16:05.0,2017-09-19 05:17:05.0,60,,4,1
2017-09-19 05:19:04.0,2017-09-19 05:22:05.0,181,,4,1
2017-09-19 05:31:16.0,2017-09-19 05:38:05.0,409,,4,1
2017-09-19 05:55:05.0,2017-09-19 05:56:05.0,60,,4,1
2017-09-19 05:57:05.0,2017-09-19 05:59:05.0,120,,4,1
2017-09-23 05:12:13.0,2017-09-23 05:13:13.0,60,,4,1
2017-09-23 07:19:19.0,2017-09-23 07:20:13.0,54,,4,1
2017-09-23 07:41:14.0,2017-09-23 07:42:20.0,66,,4,1
2017-09-25 17:20:18.0,2017-09-25 17:21:19.0,61,,4,1
2017-09-25 17:30:18.0,2017-09-25 17:31:18.0,60,,4,1
2017-09-28 17:36:31.0,2017-09-28 17:39:25.0,174,,4,1
2017-09-28 17:40:25.0,2017-09-28 17:43:25.0,180,,4,1
2017-09-28 17:52:25.0,2017-09-28 17:54:25.0,120,,4,1
2017-09-28 17:56:25.0,2017-09-28 17:58:25.0,120,,4,1
2017-09-28 18:00:25.0,2017-09-28 18:06:25.0,360,,4,1
2017-10-01 17:11:54.0,2017-10-01 17:14:31.0,157,,4,1
2017-10-01 17:57:34.0,2017-10-01 17:58:32.0,58,,4,1
2017-10-02 05:49:57.0,2017-10-03 12:28:35.0,110318,,4,1
2017-10-03 13:04:35.0,2017-10-03 19:56:35.0,24720,,4,1
2017-10-04 02:34:37.0,2017-10-04 02:35:36.0,59,,4,1
2017-10-12 20:52:00.0,2017-10-12 20:53:54.0,114,,4,1
2017-10-12 21:02:53.0,2017-10-12 21:05:54.0,181,,4,1
2017-10-12 21:08:53.0,2017-10-12 21:19:53.0,660,,4,1
2017-10-12 21:23:54.0,2017-10-12 21:24:53.0,59,,4,1
2017-10-12 21:29:54.0,2017-10-12 21:30:54.0,60,,4,1
2017-10-19 04:12:06.0,2017-10-19 04:13:08.0,62,,4,1
2017-10-19 04:15:06.0,2017-10-19 04:16:06.0,60,,4,1
2017-10-19 04:19:07.0,2017-10-19 04:20:07.0,60,,4,1
2017-10-19 04:35:07.0,2017-10-19 04:36:06.0,59,,4,1
2017-10-23 16:11:16.0,2017-10-23 16:12:16.0,60,,4,1
2017-10-27 16:54:25.0,2017-10-27 16:59:25.0,300,,4,1
2017-10-27 17:00:25.0,2017-10-27 17:03:24.0,179,,4,1
2017-10-27 17:04:25.0,2017-10-27 17:22:25.0,1080,,4,1
2017-10-27 17:23:24.0,2017-10-27 17:25:24.0,120,,4,1
2017-10-27 17:32:46.0,2017-10-27 17:41:25.0,519,,4,1
2017-10-27 18:59:25.0,2017-10-27 19:01:25.0,120,,4,1
2017-10-28 02:28:39.0,2017-10-28 12:41:27.0,36768,,4,1
2017-11-14 08:50:02.0,2017-11-14 08:51:02.0,60,,4,1
2017-11-20 00:32:10.0,2017-11-20 00:34:10.0,120,,4,1
2017-11-20 00:36:09.0,2017-11-20 00:37:09.0,60,,4,1
2017-11-20 00:38:09.0,2017-11-20 00:39:10.0,61,,4,1
2017-11-24 00:32:10.0,2017-11-24 00:33:10.0,60,,4,1
2017-11-24 00:36:12.0,2017-11-24 00:37:10.0,58,,4,1
2017-11-24 00:42:10.0,2017-11-24 00:43:10.0,60,,4,1
2017-12-09 08:29:11.0,2017-12-09 08:30:11.0,60,,4,1
2017-12-09 09:06:10.0,2017-12-09 09:08:11.0,121,,4,1
2017-12-09 18:44:10.0,2017-12-09 18:45:11.0,61,,4,1
2017-12-09 18:46:10.0,2017-12-09 18:47:10.0,60,,4,1
2017-12-09 18:50:11.0,2017-12-09 18:52:10.0,119,,4,1
2017-12-09 18:59:10.0,2017-12-09 19:02:10.0,180,,4,1
2017-12-09 19:03:10.0,2017-12-09 19:04:11.0,61,,4,1
2017-12-09 19:08:26.0,2017-12-09 19:11:11.0,165,,4,1
2017-12-09 19:13:10.0,2017-12-09 19:14:10.0,60,,4,1
2017-12-09 19:15:11.0,2017-12-09 19:19:11.0,240,,4,1
2017-12-09 19:25:11.0,2017-12-09 19:28:11.0,180,,4,1
2017-12-09 19:30:21.0,2017-12-09 19:35:11.0,290,,4,1
2017-12-09 19:36:10.0,2017-12-09 19:39:11.0,181,,4,1
2017-12-09 19:40:11.0,2017-12-09 20:03:11.0,1380,,4,1
2017-12-09 20:04:10.0,2017-12-09 20:05:11.0,61,,4,1
2017-12-09 20:06:10.0,2017-12-09 20:07:11.0,61,,4,1
2017-12-09 20:09:11.0,2017-12-09 20:11:11.0,120,,4,1
2017-12-09 20:12:11.0,2017-12-09 20:17:11.0,300,,4,1
2017-12-09 20:22:11.0,2017-12-09 20:23:11.0,60,,4,1
2017-12-09 20:25:20.0,2017-12-09 20:26:11.0,51,,4,1
2017-12-09 20:47:10.0,2017-12-09 20:48:10.0,60,,4,1
2017-12-09 20:56:10.0,2017-12-09 20:58:11.0,121,,4,1
2017-12-09 21:02:10.0,2017-12-09 21:03:10.0,60,,4,1
2017-12-09 21:04:10.0,2017-12-09 21:05:11.0,61,,4,1
2017-12-09 21:09:17.0,2017-12-09 21:10:11.0,54,,4,1
2017-12-09 21:12:11.0,2017-12-09 21:13:10.0,59,,4,1
2017-12-09 21:15:21.0,2017-12-09 21:17:10.0,109,,4,1
2017-12-09 21:18:11.0,2017-12-09 21:20:11.0,120,,4,1
2017-12-09 21:21:10.0,2017-12-09 21:26:11.0,301,,4,1
2017-12-09 21:34:13.0,2017-12-09 21:35:10.0,57,,4,1
2017-12-16 23:28:08.0,2017-12-16 23:29:07.0,59,,4,1
2017-12-18 05:58:10.0,2017-12-18 05:59:11.0,61,,4,1
2017-12-28 23:18:11.0,2017-12-28 23:19:11.0,60,,4,1
2018-01-15 22:56:12.0,2018-01-15 22:57:12.0,60,,4,1
2018-01-22 02:57:25.0,2018-01-22 02:58:25.0,60,,4,1
2018-01-22 02:59:25.0,2018-01-22 03:01:25.0,120,,4,1
2018-01-22 06:01:12.0,2018-01-22 06:02:12.0,60,,4,1
2018-01-22 06:54:19.0,2018-01-22 06:55:12.0,53,,4,1
2018-01-23 04:42:34.0,2018-01-23 04:43:12.0,38,,4,1
2018-01-24 04:16:29.0,2018-01-24 04:17:30.0,61,,4,1
2018-01-24 04:22:33.0,2018-01-24 04:23:30.0,57,,4,1
2018-01-24 04:30:35.0,2018-01-24 04:31:30.0,55,,4,1
2018-01-24 04:32:30.0,2018-01-24 04:33:29.0,59,,4,1
2018-01-24 17:14:12.0,2018-01-24 17:15:12.0,60,,4,1
2018-03-19 19:14:14.0,2018-03-19 19:33:14.0,1140,,4,1
