dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:58.0,2018-02-03 11:13:38.0,1060,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-03 12:09:37.0,2018-02-03 12:13:27.0,230,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-06 03:53:59.0,2018-02-06 03:58:01.0,242,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 08:25:58.0,2018-02-09 08:57:56.0,1918,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 10:21:58.0,2018-02-09 10:26:19.0,261,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 12:01:59.0,2018-02-09 12:05:43.0,224,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 16:26:58.0,2018-02-09 16:29:59.0,181,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-10 00:59:58.0,2018-02-10 01:17:51.0,1073,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-19 10:13:07.0,2018-02-19 10:15:53.0,166,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 03:30:28.0,2018-02-20 03:33:52.0,204,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 03:52:07.0,2018-02-20 03:59:20.0,433,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 04:06:07.0,2018-02-20 04:08:51.0,164,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 04:10:07.0,2018-02-20 04:14:46.0,279,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 04:19:07.0,2018-02-20 04:22:10.0,183,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 21:03:07.0,2018-02-20 21:05:40.0,153,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-20 21:56:15.0,2018-02-20 21:59:00.0,165,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-24 01:00:00.0,2018-02-24 01:18:22.0,1102,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 01:00:00.0,2018-03-03 01:18:37.0,1117,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 05:54:37.0,2018-03-03 05:58:59.0,262,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0001],
