dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-11-16 18:19:46.0,2017-11-16 18:31:43.0,717,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:49.0,2017-11-20 17:51:49.0,180,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:49.0,2017-11-21 19:19:53.0,904,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:49.0,2017-11-22 23:14:55.0,906,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:49.0,2017-11-23 23:14:57.0,908,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:58.0,2017-11-24 23:14:59.0,901,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:53.0,2017-11-27 23:15:05.0,912,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:48.0,2017-11-29 22:15:09.0,921,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:48.0,2017-12-02 05:17:48.0,152520,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 05:17:48.0,2017-12-02 09:16:47.0,14339,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:48.0,2017-12-04 22:15:19.0,931,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:48.0,2017-12-05 22:15:22.0,934,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:47.0,2017-12-06 22:15:23.0,936,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:47.0,2017-12-07 23:15:26.0,939,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:47.0,2017-12-08 23:15:28.0,941,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:47.0,2017-12-09 23:15:29.0,942,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:47.0,2017-12-10 23:15:32.0,945,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:47.0,2017-12-11 23:15:33.0,946,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 22:59:47.0,2017-12-12 23:05:48.0,361,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:47.0,2017-12-13 23:15:38.0,951,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:47.0,2017-12-14 23:15:40.0,953,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:47.0,2017-12-15 23:15:41.0,954,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:47.0,2017-12-16 23:15:44.0,957,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:46.0,2017-12-17 23:15:46.0,960,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:47.0,2017-12-19 01:15:48.0,961,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:47.0,2017-12-20 01:15:50.0,963,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:47.0,2017-12-21 01:15:52.0,965,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:47.0,2017-12-22 01:15:55.0,968,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:46.0,2017-12-23 01:15:56.0,970,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:46.0,2017-12-24 01:15:58.0,972,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:46.0,2017-12-25 01:16:00.0,974,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:46.0,2017-12-26 01:16:02.0,976,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:46.0,2017-12-27 01:16:04.0,978,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:45.0,2017-12-28 01:16:06.0,981,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:46.0,2017-12-29 01:16:09.0,983,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:45.0,2017-12-30 01:16:10.0,985,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:46.0,2017-12-31 01:16:12.0,986,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-01 00:59:45.0,2018-01-01 01:16:14.0,989,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-02 00:59:45.0,2018-01-02 01:16:16.0,991,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 00:59:45.0,2018-01-03 01:16:18.0,993,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-04 00:59:45.0,2018-01-04 01:16:21.0,996,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
