dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2018-07-20 20:22:25.0,2018-07-20 20:24:57.0,2018-07-20 20:25:24.0,179,152,MSRPDOU_SWL3,27,42949521
2018-05-16 18:15:31.0,2018-05-16 18:18:45.9,2018-05-16 18:20:31.0,300,194.960000,SW01A_MSRPDOU,105.040000,42949478
2018-05-16 18:55:32.0,2018-05-16 18:58:23.9,2018-05-16 19:00:32.0,300,171.960000,SW01B_MSRPDOU,128.040000,42949502
2017-10-09 16:21:50.0,2017-10-09 16:25:43.0,2017-10-09 16:31:50.0,600,233,RD03_MSRPDOU,367,24020757
2018-05-28 15:55:57.0,2018-05-28 15:59:45.0,2018-05-28 16:05:57.0,600,228,RD03_MSRPDOU,372,19955458
2018-03-31 13:38:56.0,2018-03-31 13:40:19.0,2018-03-31 13:43:56.0,300,83,RD04_MSRPDOU,217,38956465
2017-12-21 16:53:27.0,2018-01-12 19:07:04.0,2018-01-12 19:11:41.0,1909094,1908817,RD01_MSRPDOU,277,30327555
2018-02-10 11:10:21.0,2018-02-10 11:27:45.0,2018-02-10 11:33:56.0,1415,1044,RD01_MSRPDOU,371,2475974
2018-02-20 11:35:37.0,2018-02-20 11:41:27.0,2018-02-20 11:43:30.0,473,350,RD01_MSRPDOU,123,868040
2018-02-20 12:40:37.0,2018-02-20 12:53:00.0,2018-02-20 12:55:34.0,897,743,RD01_MSRPDOU,154,3549
