dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-06-19 17:30:49.0,2018-06-19 17:37:50.0,421,,4,1
2018-06-19 17:40:50.0,2018-06-27 09:40:28.0,662378,,4,1
2018-06-27 20:58:27.0,2018-07-02 15:15:17.0,411410,,4,1
2018-07-03 16:09:28.0,2018-07-03 16:39:28.0,1800,,4,1
2018-07-04 09:06:27.0,2018-07-04 14:35:27.0,19740,,4,1
2018-07-05 02:09:27.0,2018-07-05 02:10:27.0,60,,4,1
2018-07-05 02:11:27.0,2018-07-05 02:12:27.0,60,,4,1
2018-07-05 02:53:28.0,2018-07-05 02:54:27.0,59,,4,1
2018-07-05 07:45:27.0,2018-07-05 07:46:27.0,60,,4,1
2018-07-05 08:00:27.0,2018-07-05 08:01:27.0,60,,4,1
2018-07-05 08:17:27.0,2018-07-05 08:18:28.0,61,,4,1
2018-07-05 08:35:27.0,2018-07-05 08:37:27.0,120,,4,1
2018-07-05 08:51:27.0,2018-07-05 08:52:27.0,60,,4,1
2018-07-05 09:49:28.0,2018-07-05 09:50:28.0,60,,4,1
2018-07-05 09:56:27.0,2018-07-05 09:57:27.0,60,,4,1
