dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-29 16:56:57.0,2017-09-29 17:00:15.0,198,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-29 17:18:56.0,2017-09-29 17:21:56.0,180,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-29 17:39:56.0,2017-09-29 17:46:57.0,421,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 19:36:56.0,2017-10-01 19:40:15.0,199,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 12:06:56.0,2017-10-04 17:04:56.0,17880,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-07 18:20:56.0,2017-10-07 19:24:34.0,3818,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:40:43.0,2017-10-22 05:47:38.0,415,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 08:56:56.0,2017-10-22 09:54:09.0,3433,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 19:56:56.0,2017-10-27 20:07:41.0,645,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:13:56.0,2017-10-27 20:18:55.0,299,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:27:56.0,2017-10-27 20:31:57.0,241,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:38:56.0,2017-10-27 20:49:06.0,610,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-30 08:54:56.0,2017-10-30 09:49:23.0,3267,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:54.0,2017-11-14 01:19:21.0,267,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:55.0,2017-11-14 03:17:44.0,289,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 04:23:55.0,2017-11-14 04:26:39.0,164,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 08:27:55.0,2017-11-14 08:31:55.0,240,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 23:42:58.0,2017-11-15 23:45:59.0,181,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 00:24:59.0,2017-11-16 00:28:14.0,195,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:15:58.0,2017-11-16 02:22:01.0,363,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:22:01.0,2017-11-16 02:25:28.0,207,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 03:14:59.0,2017-11-16 03:17:48.0,169,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 04:48:08.0,2017-11-16 04:51:22.0,194,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:20:00.0,2017-11-16 18:31:56.0,716,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 00:01:03.0,2017-11-21 00:04:00.0,177,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:05:03.0,2017-11-21 19:20:07.0,904,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 23:00:03.0,2017-11-22 23:15:09.0,906,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 23:00:04.0,2017-11-23 23:15:12.0,908,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:07.0,2017-11-24 23:15:14.0,907,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 00:48:03.0,2017-11-25 00:50:34.0,151,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-26 05:01:05.0,2017-11-26 05:03:51.0,166,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 21:13:08.0,2017-11-27 21:18:03.0,295,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:08.0,2017-11-27 23:15:20.0,912,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:04.0,2017-11-29 22:15:32.0,928,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:19:03.0,2017-11-30 10:22:12.0,189,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:23:03.0,2017-11-30 10:26:42.0,219,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:56:04.0,2017-11-30 11:25:58.0,1794,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0001],
