dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-12-18 07:00:12.0,2017-12-18 07:02:12.0,120,,4,1
2018-01-18 01:34:19.0,2018-01-18 01:35:20.0,61,,4,1
2018-01-20 06:10:14.0,2018-01-20 06:11:13.0,59,,4,1
2018-01-20 08:22:13.0,2018-01-20 08:23:13.0,60,,4,1
2018-01-20 22:39:13.0,2018-01-20 22:40:13.0,60,,4,1
2018-01-24 04:38:33.0,2018-01-24 04:40:30.0,117,,4,1
2018-01-24 04:43:39.0,2018-01-24 04:44:31.0,52,,4,1
2018-01-24 17:12:13.0,2018-01-24 17:13:22.0,69,,4,1
2018-01-29 01:40:13.0,2018-01-29 01:41:13.0,60,,4,1
2018-02-07 22:19:13.0,2018-02-07 22:22:13.0,180,,4,1
2018-02-08 05:04:13.0,2018-02-08 05:06:13.0,120,,4,1
2018-03-05 08:03:19.0,2018-03-05 08:04:52.0,93,,4,1
2018-03-05 08:09:52.0,2018-03-05 08:10:52.0,60,,4,1
2018-03-06 02:05:52.0,2018-03-06 02:06:53.0,61,,4,1
2018-03-12 23:53:15.0,2018-03-12 23:54:15.0,60,,4,1
2018-03-15 16:15:17.0,2018-03-15 16:20:15.0,298,,4,1
2018-03-15 16:21:15.0,2018-03-15 16:23:15.0,120,,4,1
2018-03-17 07:43:24.0,2018-03-17 07:44:23.0,59,,4,1
2018-03-17 08:05:23.0,2018-03-17 08:06:24.0,61,,4,1
2018-03-19 19:10:15.0,2018-03-19 19:11:15.0,60,,4,1
2018-04-05 08:17:16.0,2018-04-05 08:18:15.0,59,,4,1
2018-05-02 08:21:55.0,2018-05-02 08:22:55.0,60,,4,1
