dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-02 14:03:16.0,2017-10-02 14:06:14.0,178,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-03 01:15:17.0,2017-10-03 01:18:18.0,181,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-03 01:24:25.0,2017-10-03 01:27:14.0,169,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-03 03:54:17.0,2017-10-03 03:56:48.0,151,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 00:25:19.0,2017-10-04 00:28:30.0,191,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-05 03:57:21.0,2017-10-05 04:00:21.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-11 01:03:33.0,2017-10-11 01:06:20.0,167,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 05:22:56.0,2017-10-22 05:25:36.0,160,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 12:29:09.0,2017-10-26 12:33:59.0,290,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 15:15:05.0,2017-10-26 15:24:50.0,585,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 01:14:44.0,2017-11-14 01:19:12.0,268,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 03:12:44.0,2017-11-14 03:15:15.0,151,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 08:28:45.0,2017-11-14 08:31:45.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-15 23:42:49.0,2017-11-15 23:46:14.0,205,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 00:24:49.0,2017-11-16 00:28:43.0,234,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:15:51.0,2017-11-16 02:26:49.0,658,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 03:01:49.0,2017-11-16 03:04:56.0,187,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 04:46:49.0,2017-11-16 04:50:56.0,247,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:50.0,2017-11-16 18:31:46.0,716,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:53.0,2017-11-20 17:51:53.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:00:53.0,2017-11-21 00:04:11.0,198,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:18:53.0,2017-11-21 00:22:02.0,189,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:40:07.0,2017-11-21 00:43:32.0,205,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:53.0,2017-11-21 19:19:57.0,904,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:53.0,2017-11-22 23:14:59.0,906,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:53.0,2017-11-23 23:15:01.0,908,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 22:59:55.0,2017-11-24 23:15:04.0,909,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 21:12:58.0,2017-11-27 21:17:27.0,269,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 22:59:58.0,2017-11-27 23:15:10.0,912,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:53.0,2017-11-29 22:15:14.0,921,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:53.0,2017-11-30 11:22:55.0,1622,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 21:59:47.0,2017-11-30 22:14:38.0,891,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-01 21:59:47.0,2017-12-01 22:14:36.0,889,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 21:59:46.0,2017-12-02 22:14:40.0,894,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-03 21:59:47.0,2017-12-03 22:14:40.0,893,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 21:59:46.0,2017-12-04 22:14:52.0,906,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 08:14:46.0,2017-12-05 08:25:32.0,646,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 17:47:46.0,2017-12-05 18:02:29.0,883,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 21:59:47.0,2017-12-05 22:14:52.0,905,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 21:59:46.0,2017-12-06 22:14:54.0,908,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 22:25:46.0,2017-12-07 22:47:46.0,1320,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 22:59:47.0,2017-12-07 23:14:59.0,912,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 19:11:46.0,2017-12-08 19:49:49.0,2283,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 22:59:47.0,2017-12-08 23:15:00.0,913,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 22:59:47.0,2017-12-09 23:15:01.0,914,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-10 22:59:47.0,2017-12-10 23:15:06.0,919,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-11 22:59:46.0,2017-12-11 23:15:00.0,914,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 22:59:47.0,2017-12-12 23:15:05.0,918,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-13 22:59:46.0,2017-12-13 23:15:14.0,928,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 22:59:46.0,2017-12-14 23:15:16.0,930,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-15 22:59:46.0,2017-12-15 23:15:07.0,921,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-16 22:59:46.0,2017-12-16 23:15:11.0,925,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-17 22:59:46.0,2017-12-17 23:15:13.0,927,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-18 20:23:46.0,2017-12-18 20:27:48.0,242,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-19 00:59:47.0,2017-12-19 01:15:39.0,952,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 00:59:47.0,2017-12-20 01:15:30.0,943,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-21 00:59:47.0,2017-12-21 01:15:31.0,944,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 00:59:46.0,2017-12-22 01:15:28.0,942,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 09:18:46.0,2017-12-22 09:56:02.0,2236,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-23 00:59:46.0,2017-12-23 01:15:34.0,948,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-24 00:59:47.0,2017-12-24 01:15:27.0,940,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 00:59:47.0,2017-12-25 01:15:31.0,944,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 09:09:47.0,2017-12-25 09:21:02.0,675,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 12:51:46.0,2017-12-25 13:46:54.0,3308,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-26 00:59:54.0,2017-12-26 01:16:10.0,976,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-27 00:59:54.0,2017-12-27 01:16:12.0,978,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-27 21:41:54.0,2017-12-27 21:45:30.0,216,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-28 00:59:55.0,2017-12-28 01:16:15.0,980,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-29 00:59:55.0,2017-12-29 01:16:16.0,981,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-29 03:06:16.0,2017-12-29 03:09:53.0,217,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-30 00:59:55.0,2017-12-30 01:16:19.0,984,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-31 00:59:54.0,2017-12-31 01:16:21.0,987,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-01 00:59:54.0,2018-01-01 01:16:23.0,989,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-02 00:59:54.0,2018-01-02 01:16:25.0,991,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-03 00:59:54.0,2018-01-03 01:16:27.0,993,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-03 12:09:54.0,2018-01-03 13:10:25.0,3631,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-04 00:59:54.0,2018-01-04 01:16:30.0,996,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-05 00:59:54.0,2018-01-05 01:16:32.0,998,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-06 00:59:55.0,2018-01-06 01:16:34.0,999,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-07 00:59:54.0,2018-01-07 01:16:36.0,1002,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-07 16:53:54.0,2018-01-07 16:56:30.0,156,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-07 21:02:55.0,2018-01-07 21:06:54.0,239,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-08 00:46:55.0,2018-01-08 01:03:46.0,1011,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-08 05:20:55.0,2018-01-08 05:23:43.0,168,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-09 00:59:54.0,2018-01-09 01:16:41.0,1007,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-10 00:59:54.0,2018-01-10 01:16:43.0,1009,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-11 00:59:55.0,2018-01-11 01:16:45.0,1010,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-12 01:59:56.0,2018-01-12 02:16:47.0,1011,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
