dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-24 13:07:56.0,2017-09-24 13:10:56.0,180,,4,1
2017-09-29 18:05:56.0,2017-09-29 18:07:56.0,120,,4,1
2017-10-01 16:18:56.0,2017-10-01 16:20:56.0,120,,4,1
2017-10-01 17:09:56.0,2017-10-01 17:11:57.0,121,,4,1
2017-10-01 19:04:56.0,2017-10-01 19:06:56.0,120,,4,1
2017-10-01 19:15:56.0,2017-10-01 19:16:56.0,60,,4,1
2017-10-01 19:19:56.0,2017-10-01 19:21:56.0,120,,4,1
2017-10-01 19:25:56.0,2017-10-01 19:29:56.0,240,,4,1
2017-10-01 20:42:56.0,2017-10-01 20:44:56.0,120,,4,1
2017-10-01 20:45:56.0,2017-10-01 20:48:56.0,180,,4,1
2017-10-01 21:52:56.0,2017-10-01 21:54:56.0,120,,4,1
2017-10-01 21:59:56.0,2017-10-01 22:02:56.0,180,,4,1
2017-10-01 22:05:56.0,2017-10-01 22:07:56.0,120,,4,1
2017-10-02 00:47:56.0,2017-10-02 00:49:56.0,120,,4,1
2017-10-02 02:11:56.0,2017-10-02 02:13:56.0,120,,4,1
2017-10-07 17:16:56.0,2017-10-07 17:18:56.0,120,,4,1
2017-10-07 18:17:56.0,2017-10-07 18:20:56.0,180,,4,1
2017-10-09 07:39:56.0,2017-10-09 07:41:56.0,120,,4,1
2017-10-16 08:17:56.0,2017-10-16 08:19:56.0,120,,4,1
2017-10-16 09:48:56.0,2017-10-16 09:50:56.0,120,,4,1
2017-10-19 16:20:56.0,2017-10-19 16:22:56.0,120,,4,1
2017-10-22 08:20:56.0,2017-10-22 08:22:56.0,120,,4,1
2017-10-22 17:54:56.0,2017-10-22 17:56:56.0,120,,4,1
2017-10-24 12:49:57.0,2017-10-24 12:52:56.0,179,,4,1
2017-10-27 17:56:56.0,2017-10-27 17:59:57.0,181,,4,1
2017-10-30 16:25:24.0,2017-10-30 16:28:24.0,180,,4,1
2017-10-30 17:05:24.0,2017-10-30 17:07:11.0,107,,4,1
2017-11-04 15:20:34.0,2017-11-04 15:23:34.0,180,,4,1
2017-11-05 07:41:36.0,2017-11-05 07:43:36.0,120,,4,1
2017-11-05 18:25:37.0,2017-11-05 18:28:37.0,180,,4,1
2017-11-05 18:40:37.0,2017-11-05 18:42:37.0,120,,4,1
2017-11-05 19:35:37.0,2017-11-05 19:37:37.0,120,,4,1
2017-11-05 19:44:37.0,2017-11-05 19:46:37.0,120,,4,1
2017-11-08 09:10:42.0,2017-11-08 09:12:43.0,121,,4,1
2017-11-08 11:35:43.0,2017-11-08 11:37:43.0,120,,4,1
2017-11-12 19:41:52.0,2017-11-12 19:43:51.0,119,,4,1
2017-11-13 15:20:53.0,2017-11-13 15:22:54.0,121,,4,1
2017-11-16 22:47:57.0,2017-11-16 22:49:57.0,120,,4,1
2017-11-18 10:09:00.0,2017-11-18 10:12:00.0,180,,4,1
2017-11-18 17:31:00.0,2017-11-18 17:33:00.0,120,,4,1
2017-11-18 23:02:01.0,2017-11-18 23:04:01.0,120,,4,1
2017-11-21 19:48:03.0,2017-11-21 19:48:07.0,4,,4,1
2017-11-21 19:49:03.0,2017-11-21 19:49:07.0,4,,4,1
2017-11-29 05:20:23.0,2017-11-29 05:23:23.0,180,,4,1
2017-11-30 11:43:56.0,2017-11-30 11:45:56.0,120,,4,1
2017-12-06 13:43:56.0,2017-12-06 13:46:56.0,180,,4,1
2017-12-06 19:22:56.0,2017-12-06 19:24:56.0,120,,4,1
2017-12-06 19:34:56.0,2017-12-06 19:37:56.0,180,,4,1
2017-12-06 21:13:56.0,2017-12-06 21:16:56.0,180,,4,1
2017-12-07 15:30:56.0,2017-12-07 15:34:56.0,240,,4,1
2017-12-07 15:35:56.0,2017-12-07 15:37:56.0,120,,4,1
2017-12-08 18:40:56.0,2017-12-08 18:43:56.0,180,,4,1
2017-12-17 19:39:57.0,2017-12-17 19:41:56.0,119,,4,1
2017-12-19 20:45:56.0,2017-12-19 20:47:56.0,120,,4,1
2017-12-20 16:55:56.0,2017-12-20 16:57:56.0,120,,4,1
2017-12-21 12:14:56.0,2017-12-21 12:23:56.0,540,,4,1
2017-12-21 14:37:56.0,2017-12-21 14:40:56.0,180,,4,1
2017-12-22 17:33:56.0,2017-12-22 17:35:56.0,120,,4,1
2017-12-22 17:36:56.0,2017-12-22 17:38:56.0,120,,4,1
2017-12-28 15:15:56.0,2017-12-28 15:18:56.0,180,,4,1
2017-12-29 09:58:56.0,2017-12-29 10:00:56.0,120,,4,1
2018-01-02 14:40:56.0,2018-01-02 14:43:56.0,180,,4,1
2018-01-05 16:11:56.0,2018-01-05 16:14:56.0,180,,4,1
2018-01-06 06:55:56.0,2018-01-06 06:58:56.0,180,,4,1
2018-01-06 18:36:57.0,2018-01-06 18:39:56.0,179,,4,1
2018-06-08 09:35:02.0,2018-06-08 09:43:02.0,480,,4,1
