dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 03:00:07.0,2018-09-02 03:24:22.0,1455,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-06 18:36:15.0,2018-09-06 18:40:07.0,232,MSOMAMB_SWL3_proxy05,Trunk321,
2018-09-20 05:54:06.0,2018-09-20 06:09:07.0,901,MSOMAMB_SWL3_proxy05,Trunk321,
2018-09-20 09:03:15.0,2018-09-20 09:06:22.0,187,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:30:24.0,2018-09-23 09:33:09.0,165,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:45:24.0,2018-09-23 09:48:46.0,202,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 10:44:23.0,2018-09-23 10:46:54.0,151,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:25:24.0,2018-09-23 11:28:54.0,210,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:41:28.0,2018-09-23 11:44:11.0,163,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 20:32:16.0,2018-09-24 20:34:55.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 22:55:24.0,2018-09-24 22:58:15.0,171,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:21:15.0,2018-09-24 23:24:27.0,192,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:28:15.0,2018-09-24 23:31:41.0,206,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:53:16.0,2018-09-24 23:56:59.0,223,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 01:05:16.0,2018-09-25 01:08:02.0,166,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:40:23.0,2018-09-25 02:43:22.0,179,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:50:16.0,2018-09-25 02:53:19.0,183,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:30:16.0,2018-09-25 03:33:05.0,169,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:52:16.0,2018-09-25 03:54:56.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:55:16.0,2018-09-25 03:57:55.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:17:24.0,2018-09-25 05:19:54.0,150,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:37:16.0,2018-09-25 05:40:24.0,188,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:40:24.0,2018-09-25 05:43:15.0,171,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:50:24.0,2018-09-25 05:52:55.0,151,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:40:15.0,2018-09-25 06:42:55.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:45:15.0,2018-09-25 06:48:23.0,188,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:56:16.0,2018-09-25 06:59:16.0,180,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 08:45:15.0,2018-09-25 08:49:15.0,240,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 19:11:23.0,2018-09-25 19:14:33.0,190,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 20:55:23.0,2018-09-25 20:57:59.0,156,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 21:06:32.0,2018-09-25 21:09:16.0,164,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 22:30:24.0,2018-09-25 22:33:12.0,168,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 23:21:15.0,2018-09-25 23:24:15.0,180,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 00:36:11.0,2018-09-26 00:39:04.0,173,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 00:57:19.0,2018-09-26 01:00:03.0,164,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 01:30:24.0,2018-09-26 01:32:55.0,151,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 01:45:24.0,2018-09-26 01:48:45.0,201,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 01:48:45.0,2018-09-26 01:52:00.0,195,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 01:54:19.0,2018-09-26 01:56:59.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 02:25:55.0,2018-09-26 02:30:24.0,269,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 02:39:15.0,2018-09-26 02:41:58.0,163,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 02:47:16.0,2018-09-26 02:49:54.0,158,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 03:20:24.0,2018-09-26 03:23:55.0,211,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 03:32:23.0,2018-09-26 03:35:15.0,172,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 04:20:24.0,2018-09-26 04:22:59.0,155,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:11:16.0,2018-09-26 05:14:15.0,179,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:16:16.0,2018-09-26 05:19:15.0,179,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:44:16.0,2018-09-26 05:47:06.0,170,MSOMAMB_SWL3_proxy05,Trunk321,
2018-09-26 05:59:24.0,2018-09-26 06:01:55.0,151,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 06:25:15.0,2018-09-26 06:28:03.0,168,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 06:38:16.0,2018-09-26 06:41:02.0,166,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 07:35:15.0,2018-09-26 07:39:03.0,228,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 07:40:15.0,2018-09-26 07:42:55.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 07:42:55.0,2018-09-26 07:45:36.0,161,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 08:39:16.0,2018-09-26 08:42:41.0,205,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 08:45:55.0,2018-09-26 08:48:28.0,153,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 09:35:16.0,2018-09-26 09:37:55.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-01 04:15:16.0,2018-10-01 04:18:03.0,167,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 19:25:27.0,2018-10-02 19:28:06.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 20:43:18.0,2018-10-02 20:46:05.0,167,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:26:45.0,2018-10-02 22:29:27.0,162,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:34:18.0,2018-10-02 22:36:59.0,161,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:45:27.0,2018-10-02 22:48:01.0,154,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
