dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 03:00:05.0,2018-09-02 03:25:12.0,1507,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-02 13:39:13.0,2018-09-02 13:51:35.0,742,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-02 15:03:12.0,2018-09-02 15:19:49.0,997,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-02 17:13:13.0,2018-09-02 17:50:42.0,2249,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-09 05:18:05.0,2018-09-09 05:21:01.0,176,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-09 16:56:05.0,2018-09-09 17:07:05.0,660,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-11 19:21:17.0,2018-09-11 19:25:05.0,228,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-11 19:25:05.0,2018-09-11 19:28:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-11 19:34:13.0,2018-09-11 19:40:05.0,352,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-11 20:03:05.0,2018-09-11 20:05:38.0,153,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 10:17:13.0,2018-09-20 10:23:06.0,353,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 10:32:05.0,2018-09-20 10:34:54.0,169,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 10:41:30.0,2018-09-20 10:47:29.0,359,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 11:01:05.0,2018-09-20 11:04:00.0,175,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
