dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 02:59:51.0,2018-09-02 03:24:30.0,1479,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-06 18:35:51.0,2018-09-06 18:39:51.0,240,MSOMIGT_SWL3_proxy05,Trunk322,
2018-09-11 18:59:23.0,2018-09-11 19:02:58.0,215,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 05:35:32.0,2018-09-20 05:38:23.0,171,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 05:53:59.0,2018-09-20 06:09:51.0,952,MSOMIGT_SWL3_proxy05,Trunk322,
2018-09-20 06:16:23.0,2018-09-20 06:19:38.0,195,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 10:27:23.0,2018-09-23 10:31:23.0,240,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 11:06:36.0,2018-09-23 11:09:11.0,155,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 12:08:32.0,2018-09-23 12:11:15.0,163,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 13:25:40.0,2018-09-23 13:29:23.0,223,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 15:15:32.0,2018-09-23 15:18:16.0,164,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-23 16:45:33.0,2018-09-23 16:48:33.0,180,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:09:24.0,2018-09-24 23:12:23.0,179,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:12:23.0,2018-09-24 23:15:15.0,172,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:20:32.0,2018-09-24 23:24:37.0,245,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:29:31.0,2018-09-24 23:32:03.0,152,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:36:12.0,2018-09-24 23:39:45.0,213,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 23:54:23.0,2018-09-24 23:57:21.0,178,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 00:03:31.0,2018-09-25 00:07:17.0,226,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 01:05:38.0,2018-09-25 01:08:36.0,178,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 01:20:38.0,2018-09-25 01:23:29.0,171,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 01:30:24.0,2018-09-25 01:33:16.0,172,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 02:25:28.0,2018-09-25 02:30:29.0,301,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 02:38:49.0,2018-09-25 02:41:44.0,175,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 02:50:37.0,2018-09-25 02:53:34.0,177,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 02:53:34.0,2018-09-25 02:56:35.0,181,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 03:23:34.0,2018-09-25 03:26:31.0,177,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 03:30:26.0,2018-09-25 03:33:14.0,168,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 04:08:40.0,2018-09-25 04:11:43.0,183,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 04:55:42.0,2018-09-25 04:58:38.0,176,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:05:30.0,2018-09-25 05:08:40.0,190,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:30:33.0,2018-09-25 05:33:24.0,171,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:35:30.0,2018-09-25 05:38:10.0,160,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:45:16.0,2018-09-25 05:48:16.0,180,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:50:46.0,2018-09-25 05:53:36.0,170,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 05:55:28.0,2018-09-25 05:58:11.0,163,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 06:52:25.0,2018-09-25 06:54:57.0,152,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 20:45:32.0,2018-09-25 20:49:23.0,231,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 21:55:25.0,2018-09-25 22:00:16.0,291,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 22:30:32.0,2018-09-25 22:33:35.0,183,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-25 23:21:24.0,2018-09-25 23:24:20.0,176,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 00:29:24.0,2018-09-26 00:32:11.0,167,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 00:39:23.0,2018-09-26 00:42:08.0,165,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 00:57:24.0,2018-09-26 01:00:27.0,183,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 01:34:03.0,2018-09-26 01:36:34.0,151,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 01:45:24.0,2018-09-26 01:49:10.0,226,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 01:57:24.0,2018-09-26 02:00:24.0,180,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 02:02:24.0,2018-09-26 02:05:11.0,167,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 02:50:24.0,2018-09-26 02:53:11.0,167,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0002],
