dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 03:00:03.0,2018-09-02 03:24:41.0,1478,MSOMMNO_SWL3_proxy05,Trunk321,
2018-09-06 18:36:03.0,2018-09-06 18:40:03.0,240,MSOMMNO_SWL3_proxy05,Trunk321,
2018-09-20 05:32:03.0,2018-09-20 05:34:53.0,170,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 05:35:12.0,2018-09-20 05:38:41.0,209,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 05:54:02.0,2018-09-20 06:09:03.0,901,MSOMMNO_SWL3_proxy05,Trunk321,
2018-09-20 06:16:33.0,2018-09-20 06:19:03.0,150,MSOMMNO_SWL3_proxy05,Trunk321,
2018-09-23 09:44:04.0,2018-09-23 09:47:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:59:04.0,2018-09-23 10:01:52.0,168,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:44:04.0,2018-09-23 11:47:51.0,227,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:41:04.0,2018-09-23 13:44:02.0,178,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 16:47:04.0,2018-09-23 16:49:42.0,158,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 20:47:04.0,2018-09-24 20:49:51.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 22:58:04.0,2018-09-24 23:00:42.0,158,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:48:51.0,2018-09-24 23:51:32.0,161,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 00:08:04.0,2018-09-25 00:11:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:38:04.0,2018-09-25 02:40:48.0,164,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:47:04.0,2018-09-25 02:49:51.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:52:04.0,2018-09-25 02:55:38.0,214,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:23:03.0,2018-09-25 03:26:45.0,222,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:43:04.0,2018-09-25 03:45:51.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 04:05:04.0,2018-09-25 04:07:43.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:05:04.0,2018-09-25 05:07:43.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:29:04.0,2018-09-25 05:32:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:45:04.0,2018-09-25 05:48:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:58:04.0,2018-09-25 06:00:50.0,166,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:01:04.0,2018-09-25 06:03:36.0,152,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:50:04.0,2018-09-25 06:52:42.0,158,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:53:04.0,2018-09-25 06:55:43.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 07:13:59.0,2018-09-25 07:16:44.0,165,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 09:17:04.0,2018-09-25 09:19:43.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 09:24:43.0,2018-09-25 09:27:50.0,187,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 20:35:04.0,2018-09-25 20:37:43.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 22:48:04.0,2018-09-25 22:51:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:16:04.0,2018-09-26 05:19:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:41:04.0,2018-09-26 05:44:04.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 06:02:05.0,2018-09-26 06:05:04.0,179,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 08:50:04.0,2018-09-26 08:52:56.0,172,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-01 04:03:04.0,2018-10-01 04:05:51.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
