dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-08-31 14:01:17.0,2018-08-31 14:04:17.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-08-31 17:01:16.0,2018-08-31 17:04:17.0,181,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-08-31 19:41:16.0,2018-08-31 19:57:16.0,960,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 02:59:17.0,2018-09-02 03:24:24.0,1507,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 11:59:24.0,2018-09-02 12:21:24.0,1320,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 13:38:24.0,2018-09-02 13:51:31.0,787,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 15:03:24.0,2018-09-02 15:19:49.0,985,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 17:13:24.0,2018-09-02 17:51:16.0,2272,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 04:53:17.0,2018-09-09 04:55:48.0,151,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 05:11:17.0,2018-09-09 05:15:24.0,247,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 05:18:17.0,2018-09-09 05:20:55.0,158,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 06:09:19.0,2018-09-09 06:12:33.0,194,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 16:55:17.0,2018-09-09 17:04:20.0,543,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-11 19:28:18.0,2018-09-11 19:31:08.0,170,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-11 20:06:17.0,2018-09-11 20:09:48.0,211,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-14 19:39:17.0,2018-09-14 19:43:17.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 00:55:20.0,2018-09-15 01:03:17.0,477,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 03:59:18.0,2018-09-15 04:03:17.0,239,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 05:59:17.0,2018-09-15 06:03:17.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 03:19:18.0,2018-09-16 03:23:17.0,239,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 06:58:18.0,2018-09-16 07:03:17.0,299,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 13:20:17.0,2018-09-16 13:23:17.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 07:32:18.0,2018-09-20 07:35:01.0,163,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:17:18.0,2018-09-20 10:22:20.0,302,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:31:17.0,2018-09-20 10:35:40.0,263,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:41:29.0,2018-09-20 10:47:34.0,365,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:53:18.0,2018-09-20 10:59:18.0,360,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 11:01:17.0,2018-09-20 11:04:06.0,169,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 11:23:18.0,2018-09-20 11:25:48.0,150,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-22 21:51:18.0,2018-09-22 21:54:01.0,163,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-22 21:54:01.0,2018-09-22 21:57:14.0,193,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-22 22:01:18.0,2018-09-22 22:03:55.0,157,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 10:02:17.0,2018-09-24 10:13:33.0,676,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 10:23:58.0,2018-09-24 10:27:27.0,209,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 10:27:27.0,2018-09-24 10:32:56.0,329,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-26 11:12:18.0,2018-09-26 11:18:18.0,360,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
