dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-08-30 20:13:59.0,2018-08-30 20:21:06.0,427,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-02 02:59:59.0,2018-09-02 03:25:06.0,1507,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-19 19:00:57.0,2018-09-19 19:05:36.0,279,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 08:39:57.0,2018-09-20 08:50:42.0,645,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 15:21:57.0,2018-09-20 15:26:32.0,275,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 18:59:57.0,2018-09-20 19:02:41.0,164,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 19:21:57.0,2018-09-20 19:24:57.0,180,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-20 19:28:29.0,2018-09-20 19:32:57.0,268,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-21 16:25:58.0,2018-09-21 16:58:34.0,1956,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 04:24:57.0,2018-09-24 04:27:55.0,178,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 04:38:57.0,2018-09-24 04:42:30.0,213,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-24 04:51:56.0,2018-09-24 04:57:53.0,357,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 17:00:57.0,2018-09-26 17:19:43.0,1126,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-26 19:09:57.0,2018-09-26 19:15:57.0,360,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 16:33:56.0,2018-09-28 16:40:03.0,367,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 16:49:15.0,2018-09-28 16:52:02.0,167,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 16:52:02.0,2018-09-28 16:55:00.0,178,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 17:25:56.0,2018-09-28 17:29:37.0,221,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 18:41:56.0,2018-09-28 18:45:04.0,188,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 18:58:56.0,2018-09-28 19:02:34.0,218,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-09-28 19:06:57.0,2018-09-28 19:21:37.0,880,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-02 17:49:59.0,2018-10-02 18:00:48.0,649,MSRPJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
