dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-08-31 13:04:22.0,2018-08-31 13:07:22.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-08-31 19:41:22.0,2018-08-31 19:56:22.0,900,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-02 02:59:22.0,2018-09-02 03:24:30.0,1508,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-02 11:59:30.0,2018-09-02 12:21:30.0,1320,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-09 05:11:23.0,2018-09-09 05:13:57.0,154,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-14 19:39:23.0,2018-09-14 19:42:23.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-15 00:54:27.0,2018-09-15 01:02:23.0,476,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-15 03:59:23.0,2018-09-15 04:02:23.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-15 05:59:23.0,2018-09-15 06:02:23.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-16 03:19:23.0,2018-09-16 03:22:23.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-16 06:58:23.0,2018-09-16 07:02:23.0,240,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-19 16:59:23.0,2018-09-19 19:45:24.0,9961,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-20 07:32:23.0,2018-09-20 07:35:06.0,163,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-20 07:36:47.0,2018-09-20 07:39:28.0,161,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-20 10:53:23.0,2018-09-20 10:59:23.0,360,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-26 11:12:24.0,2018-09-26 11:18:24.0,360,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-26 18:32:23.0,2018-09-26 18:38:23.0,360,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-09-26 19:02:23.0,2018-09-26 19:27:24.0,1501,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0004],
