dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 02:59:53.0,2018-09-02 03:24:26.0,1473,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 05:53:52.0,2018-09-20 05:59:23.0,331,MSRPTCU_SWL3_proxy05,Trunk323,
2018-09-20 06:16:23.0,2018-09-20 06:19:23.0,180,MSRPTCU_SWL3_proxy05,Trunk323,
2018-09-23 09:47:19.0,2018-09-23 09:49:59.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-23 11:45:19.0,2018-09-23 11:48:08.0,169,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-23 12:30:20.0,2018-09-23 12:33:16.0,176,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-23 14:00:27.0,2018-09-23 14:03:08.0,161,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-23 14:14:27.0,2018-09-23 14:16:59.0,152,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-23 15:45:20.0,2018-09-23 15:48:11.0,171,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 23:10:19.0,2018-09-24 23:13:16.0,177,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 23:14:19.0,2018-09-24 23:17:02.0,163,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-24 23:40:20.0,2018-09-24 23:43:02.0,162,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 00:04:27.0,2018-09-25 00:07:24.0,177,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 01:06:27.0,2018-09-25 01:09:28.0,181,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 01:18:51.0,2018-09-25 01:21:32.0,161,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 01:25:20.0,2018-09-25 01:28:15.0,175,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 02:25:20.0,2018-09-25 02:28:12.0,172,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 02:41:21.0,2018-09-25 02:44:32.0,191,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:24:46.0,2018-09-25 03:27:25.0,159,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:35:03.0,2018-09-25 03:37:37.0,154,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:38:31.0,2018-09-25 03:41:19.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:41:19.0,2018-09-25 03:44:07.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:46:08.0,2018-09-25 03:49:03.0,175,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 03:53:31.0,2018-09-25 03:56:05.0,154,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 05:04:19.0,2018-09-25 05:06:49.0,150,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 05:23:32.0,2018-09-25 05:26:20.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 05:35:22.0,2018-09-25 05:38:17.0,175,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 05:38:24.0,2018-09-25 05:41:23.0,179,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 05:49:20.0,2018-09-25 05:52:27.0,187,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 08:44:20.0,2018-09-25 08:47:00.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 09:04:19.0,2018-09-25 09:06:49.0,150,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 09:09:19.0,2018-09-25 09:11:51.0,152,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-25 21:05:20.0,2018-09-25 21:07:54.0,154,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-26 05:17:20.0,2018-09-26 05:20:19.0,179,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
