dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-01-11 06:02:26.0,2019-01-11 06:03:23.0,57,,4,1
2019-01-11 07:10:30.0,2019-01-11 07:11:24.0,54,,4,1
2019-01-11 17:33:23.0,2019-01-11 17:35:32.0,129,,4,1
2019-01-11 17:36:24.0,2019-01-11 17:37:24.0,60,,4,1
2019-01-11 17:47:24.0,2019-01-11 17:48:30.0,66,,4,1
2019-01-13 04:56:25.0,2019-01-13 04:57:23.0,58,,4,1
2019-01-13 05:14:00.0,2019-01-13 05:14:23.0,23,,4,1
2019-01-17 04:56:27.0,2019-01-17 04:57:19.0,52,,4,1
2019-01-22 05:04:11.0,2019-01-22 05:05:11.0,60,,4,1
2019-01-24 15:10:11.0,2019-01-24 15:12:10.0,119,,4,1
2019-01-25 02:56:13.0,2019-01-25 02:58:10.0,117,,4,1
