dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-01-03 17:12:36.0,2019-01-03 17:13:36.0,60,,4,1
2019-01-10 03:51:49.0,2019-01-10 03:52:41.0,52,,4,1
2019-01-10 04:13:59.0,2019-01-10 04:14:41.0,42,,4,1
2019-01-13 22:44:58.0,2019-01-13 22:45:41.0,43,,4,1
2019-01-14 22:48:47.0,2019-01-14 22:49:39.0,52,,4,1
2019-01-21 07:56:31.0,2019-01-21 07:57:31.0,60,,4,1
2019-01-21 07:59:31.0,2019-01-21 08:00:31.0,60,,4,1
2019-01-30 01:35:42.0,2019-01-30 01:36:42.0,60,,4,1
2019-01-30 01:57:42.0,2019-01-30 01:58:42.0,60,,4,1
2019-01-30 05:40:59.0,2019-01-30 05:41:42.0,43,,4,1
2019-01-30 21:56:42.0,2019-01-30 21:57:42.0,60,,4,1
