dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-01-04 10:53:07.0,2019-01-04 10:54:08.0,61,,4,1
2019-01-10 02:59:13.0,2019-01-10 03:00:13.0,60,,4,1
2019-01-13 21:11:12.0,2019-01-13 21:12:12.0,60,,4,1
2019-01-21 06:26:02.0,2019-01-21 06:28:03.0,121,,4,1
2019-01-21 07:00:02.0,2019-01-21 07:01:03.0,61,,4,1
2019-01-21 07:33:02.0,2019-01-21 07:34:03.0,61,,4,1
2019-01-25 00:53:02.0,2019-01-25 00:54:02.0,60,,4,1
2019-01-30 01:35:14.0,2019-01-30 01:36:15.0,61,,4,1
2019-01-30 01:37:14.0,2019-01-30 01:38:14.0,60,,4,1
2019-01-30 22:08:14.0,2019-01-30 22:09:14.0,60,,4,1
2019-01-30 22:22:14.0,2019-01-30 22:23:14.0,60,,4,1
2019-01-31 04:13:14.0,2019-01-31 04:14:14.0,60,,4,1
2019-01-31 09:06:14.0,2019-01-31 09:07:14.0,60,,4,1
