dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-06-25 07:09:50.0,2018-06-25 07:13:41.0,231,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-25 08:52:12.0,2018-06-25 08:57:59.0,347,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-25 15:23:50.0,2018-06-25 15:27:33.0,223,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-26 08:53:49.0,2018-06-26 08:56:20.0,151,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-27 02:12:14.0,2018-06-27 02:14:56.0,162,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-30 00:59:14.0,2018-06-30 01:22:05.0,1371,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-30 16:39:05.0,2018-06-30 18:04:05.0,5100,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-03 16:34:14.0,2018-07-03 16:39:08.0,294,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-04 09:06:14.0,2018-07-04 09:14:26.0,492,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-05 19:10:14.0,2018-07-05 19:14:14.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-07 01:00:14.0,2018-07-07 01:23:19.0,1385,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-12 16:54:20.0,2018-07-12 16:59:23.0,303,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 15:55:20.0,2018-07-13 15:58:31.0,191,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 16:15:20.0,2018-07-13 16:19:02.0,222,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 16:49:20.0,2018-07-13 16:52:20.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 17:37:28.0,2018-07-13 17:40:55.0,207,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 17:55:20.0,2018-07-13 17:58:39.0,199,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-13 18:14:21.0,2018-07-13 18:17:20.0,179,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-19 11:37:20.0,2018-07-19 11:43:03.0,343,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-22 03:27:21.0,2018-07-22 03:30:07.0,166,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
