dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-11-30 00:55:26.0,2018-11-30 00:56:26.0,60,,4,1
2018-12-01 01:21:26.0,2018-12-01 01:22:27.0,61,,4,1
2018-12-01 01:51:27.0,2018-12-01 01:52:26.0,59,,4,1
2018-12-17 05:56:27.0,2018-12-17 05:57:27.0,60,,4,1
2018-12-17 08:22:27.0,2018-12-17 08:23:27.0,60,,4,1
2018-12-17 08:29:26.0,2018-12-17 08:30:27.0,61,,4,1
2018-12-22 03:24:26.0,2018-12-22 03:27:26.0,180,,4,1
2018-12-25 23:44:24.0,2018-12-25 23:45:25.0,61,,4,1
2018-12-26 23:24:24.0,2018-12-26 23:25:24.0,60,,4,1
2018-12-28 09:02:24.0,2018-12-28 09:03:24.0,60,,4,1
2018-12-28 23:51:24.0,2018-12-28 23:52:24.0,60,,4,1
2018-12-29 01:24:24.0,2018-12-29 01:25:24.0,60,,4,1
2018-12-29 01:41:24.0,2018-12-29 01:42:24.0,60,,4,1
