time_ini,time_end,duration_seg,duration_percent,ref_2018_12_22,ref_2018_12_23,ref_2018_12_20,ref_2018_12_21,chamados_MSRPFDI,chamados_MSOMCCL,ref_2018_12_24,ref_2018_12_25,chamados_MSOMPPR,ref_2018_12_28,chamados_MSRPPPR,localidade_id_MSRPFDI_1864,ref_2018_12_30,RPTCU_nOK_0001,RPPPR_nOK_0002,OMCCL_nOK_0004,localidade_id_MSOMCGR_1900,ref_Periodo,RPPPR_nOK_0004,ref_2018_12_27,RPFDI_SColTempo_0002_delta_tempo,chamados_MSOMDOU,localidade_id_MSOMCCL_1917,chamados_MSOMCGR,RPNVL_nOK_0001,ref_2019_01_02,ref_2019_01,OMPPR_SColTempo_0002_delta_tempo,OMBLV_SColTempo_0002_delta_tempo,ref_2018_12_19,ref_2018_12_18,chamados_MSRPMPX,RPSPE_nOK_0001,ref_2018_12_09,ref_2018_12_13,ref_2018_12_08,ref_2018_12_11,ref_2018_12_10,ref_2018_12_17,localidade_id_MSOMDOU_1878,ref_2018_12_15,chamados_Savis,localidade_id_Savis_1847,ref_2018_12_12,ref_2018_12_29,chamados_MSRPMMA,RPTRN_nOK_0001,localidade_id_MSRPMPX_1844,ref_2018_12_26,localidade_id_MSRPPPR_1916,ref_2019_01_01,RPNAS1_nOK_0002,ref_2019_01_03,ref_2018_12_05,RPSPE_SColTempo_0002_delta_tempo,localidade_id_MSOMCGR_1817,ref_2018_12_06,chamados_MSOMJRD,localidade_id_MSRPPPR_1824,ref_2018_12_03,Chamados_Desconto,ref_2018_11_30,RPJRD_nOK_0002,ref_2018_12_07,ref_2018_12_31,RPCGR_nOK_0002,localidade_id_MSOMCGR_1841,ref_2018_12_16,ref_2018_12_14,localidade_id_MSOMPPR_1828,ref_2018_12,localidade_id_MSOMBLV_1910,ref_2018_11,ref_2018_12_04,localidade_id_MSRPMMA_1845,OMCARC_SColTempo_0003_delta_tempo,chamados_MSOMBLV,ref_2018_12_01,ref_2018_12_02,localidade_id_MSOMJRD_1804
"2018-11-01 11:52:20","2018-11-01 14:20:21",8881.0,0.00161859453651, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , ,1
"2018-11-01 17:00:00","2018-11-03 18:00:00",176400.0,0.0321495412949, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , 
"2018-11-03 18:52:25","2018-11-03 18:53:25",60.0,1.09352181275E-05, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , 
"2018-11-05 19:52:43","2018-11-05 19:58:20",337.0,6.14194751496E-05, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , 
"2018-11-08 09:13:14","2018-11-08 09:27:23",849.0,0.000154733336505, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , 
"2018-11-08 09:27:23","2018-11-08 09:30:00",157.0,2.8613820767E-05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , 
"2018-11-08 09:30:00","2018-11-08 09:50:00",1200.0,0.000218704362551, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
"2018-11-09 10:58:35","2018-11-09 11:06:35",480.0,8.74817450202E-05, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , 
"2018-11-09 13:00:00","2018-11-09 17:00:00",14400.0,0.00262445235061, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
"2018-11-15 21:07:14","2018-11-15 21:09:14",120.0,2.18704362551E-05, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
