dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-11-01 20:16:29.0,2018-11-01 20:17:25.0,56,,4,1
2018-11-01 20:24:25.0,2018-11-01 20:24:26.0,-3599,,4,1
2018-11-01 20:53:29.0,2018-11-01 20:54:25.0,3656,,4,1
2018-11-01 21:16:29.0,2018-11-01 21:17:24.0,3655,,4,1
2018-11-01 21:24:25.0,2018-11-01 21:25:24.0,3659,,4,1
2018-11-03 19:52:25.0,2018-11-03 19:53:25.0,60,,4,1
2018-11-14 13:00:26.0,2018-11-14 13:01:25.0,59,,4,1
2018-11-28 23:20:26.0,2018-11-28 23:21:26.0,60,,4,1
2018-11-29 18:18:26.0,2018-11-29 18:19:26.0,60,,4,1
2018-11-30 00:55:26.0,2018-11-30 00:56:26.0,60,,4,1
2018-12-01 01:21:26.0,2018-12-01 01:22:27.0,61,,4,1
2018-12-01 01:51:27.0,2018-12-01 01:52:26.0,59,,4,1
