time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,OMCCL_nOK_0001,ref_2018_11_06,OMCCL_nOK_0004,RPDOU_SColTempo_0001_delta_tempo,localidade_id_MSRPSPE_1817,RPCGR_nOK_0001,RPCGR_nOK_0002,RPAMO1_SColTempo_0003_delta_tempo,localidade_id_MSRPATJ_1817,ref_Periodo,RPFDIxRPMPX_ativado,RPNAS_nOK_0002,chamados_MSOMCGR,OMCCLxRPATJ_ativado,chamados_MSRPJRD,OMGUA_SColTempo_0001_delta_tempo,RPPPR_SColTempo_0004_delta_tempo,chamados_MSRPTRN,OMIGT_SColTempo_0001_delta_tempo,chamados_MSRPATJ,RPMPX_nOK_0003,RPMPX_nOK_0002,chamados_MSRPMMA,OMAMB_SColTempo_0001_delta_tempo,RPMRDxRPFGR_ativado,ref_2018_10_31,chamados_MSOMJRD,chamados_MSRRFDI,RPJRD_nOK_0001,chamados_MSRPDOU,ref_2018_11_18,ref_2018_11_19,localidade_id_MSOMCCL_1841,ref_2018_11_17,ref_2018_11_14,ref_2018_11_15,ref_2018_11_12,ref_2018_11_13,ref_2018_11_10,ref_2018_11_11,ref_2018_11_16,RPAMBxRPTCU_ativado,ref_2018_12,localidade_id_MSOMBLV_1910,ref_2018_10,ref_2018_11,OMBLV_SColTempo_0001_delta_tempo,RPDOU_SColTempo_0002_delta_tempo,localidade_id_MSRPMMA_1910,localidade_id_MSRPNAS1_1817,localidade_id_MSRPNOQ_1817,RPNASxRPRBR_ativado,RPPPR_nOK_0002,localidade_id_MSOMCGR_1900,RPPPR_nOK_0004,RPDOU_nOK_0001,RPDOU_nOK_0002,RPCGR_SColTempo_0002_delta_tempo,ref_2018_11_09,ref_2018_11_08,ref_2018_11_05,ref_2018_11_04,RPNVL_nOK_0002,localidade_id_MSRPRBR_1817,ref_2018_11_01,ref_2018_11_03,ref_2018_11_02,OMCGR_nOK_0003,RPPPR_SColTempo_0001_delta_tempo,OMCGR_nOK_0001,chamados_MSRPMPX,RPRBR_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPNAS1_SColTempo_0002_delta_tempo,RPPPRxOMCCL_ativado,RPAMO_SColTempo_0002_delta_tempo,ref_2018_11_26,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,chamados_MSRPRBR,RPTRN_nOK_0002,RPNAS_SColTempo_0001_delta_tempo,localidade_id_MSOMDOU_1817,ref_2018_11_23,chamados_MSOMDOU,chamados_MSRPCGR,Chamados_Desconto,ref_2018_11_30,RPNAS_nOK_0001,OMIGT_SColTempo_0002_delta_tempo,RPNAS1_SColTempo_0001_delta_tempo,RPAMOxRPAMB_ativado,localidade_id_MSRPJRD_1845,chamados_MSOMBLV,OMMNO_SColTempo_0001_delta_tempo,localidade_id_MSRPMPX_1817,chamados_MSOMCCL,RPTCUxOMIGT_ativado,OMBLV_SColTempo_0002_delta_tempo,localidade_id_MSRPFDI_1864,RPNAS_SColTempo_0002_delta_tempo,RPPPRxOMPPR_ativado,RPPPR_SColTempo_0003_delta_tempo,localidade_id_MSRPCGR_1817,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,ref_2018_11_27,localidade_id_MSOMCCL_1817,ref_2018_11_25,ref_2018_11_24,RPRBRxRPDOU_ativado,ref_2018_11_22,ref_2018_11_21,OMCGRxOMRCB_ativado,localidade_id_MSRPATJ_1841,RPNVLxRPBND_ativado,ref_2018_11_29,ref_2018_11_28,localidade_id_MSRPFDI_1844,RPCGRxRPNAS1_ativado,RPNOQxOMNOQ_ativado,OMDOU_SColTempo_0002_delta_tempo,localidade_id_MSRPPPR_1817,chamados_MSRPPPR,chamados_MSRPNOQ,RPMMA_nOK_0001,localidade_id_MSOMDOU_1878,RPMMA_nOK_0002,localidade_id_MSOMBLV_1817,localidade_id_MSRPMPX_1828,OMMNO_SColTempo_0002_delta_tempo,RPPPR_SColTempo_0002_delta_tempo,localidade_id_MSRPPPR_1824,OMBLV_nOK_0002,OMBLV_nOK_0001,localidade_id_MSRPDOU_1878,OMDOU_SColTempo_0001_delta_tempo,RPTCU_SColTempo_0003_delta_tempo,RPAMB_SColTempo_0002_delta_tempo,ref_2018_12_01,ref_2018_12_02,ref_2018_12_03,ref_2018_11_20,chamados_MSRPFDI,chamados_MSRPNAS1,chamados_MSRPSPE,localidade_id_MSRPMMA_1817,RPAMB_SColTempo_0003_delta_tempo,localidade_id_MSOMBLV_1804,RPAMO_nOK_0002,RPTCU_SColTempo_0001_delta_tempo,OMCARC_SColTempo_0003_delta_tempo,localidade_id_MSRPTRN_1817,RPFDI_nOK_0001,RPFDI_nOK_0002,RPAMB_SColTempo_0001_delta_tempo,RPAMO1_nOK_0001,localidade_id_MSOMJRD_1817,RPAMO_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMO1_SColTempo_0001_delta_tempo,RPAMBxOMAMB_ativado,OMPPR_SColTempo_0002_delta_tempo,OMIGTxOMMNO_ativado,OMDOU_nOK_0002,localidade_id_MSRPNVL_1817,RPMPX_nOK_0001,localidade_id_MSRRFDI_1817,OMCGRxRPNVL_ativado,localidade_id_MSRPSPE_1828,RPJRD_nOK_0002,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,localidade_id_MSRPNAS_1817,chamados_MSRPNVL,localidade_id_MSRPMPX_1844,localidade_id_MSRPTRN_1864,RPSPE_nOK_0002,RPMRDxOMAQD_ativado,localidade_id_MSRPATJ_1804,localidade_id_MSOMCGR_1817,RPMPXxRPSPE_ativado,RPRBR_SColTempo_0001_delta_tempo,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,chamados_MSRPNAS,RPNOQ_nOK_0002,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,localidade_id_MSRPDOU_1817,RPATJ_nOK_0001,RPATJ_nOK_0002,RPSPExRPNOQ_ativado,localidade_id_MSOMCCL_1824,ref_2018_11_07
"2018-10-31 00:00:00","2018-10-31 10:53:05",39185.0,0.0132030003848, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-10-31 10:53:05","2018-10-31 10:55:05",120.0,4.0432819859E-05, , , ,1, , , , , , ,1,1, , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-10-31 10:55:05","2018-10-31 14:30:12",12907.0,0.004348886716, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-10-31 14:30:12","2018-10-31 14:33:09",177.0,5.9638409292E-05, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-10-31 14:33:09","2018-10-31 23:59:59",34010.0,0.0114593350284, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-10-31 23:59:59","2018-11-01 00:00:00",1.0,3.36940165492E-07, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-11-01 00:00:00","2018-11-01 09:50:24",35424.0,0.0119357684224, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-11-01 09:50:24","2018-11-01 09:53:05",161.0,5.42473666441E-05, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-11-01 09:53:05","2018-11-01 11:52:20",7155.0,0.00241080688409, , , , , , , , , , ,1,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1, , ,1, ,1,1, , ,1,1,1, , , ,1, , 
"2018-11-01 11:52:20","2018-11-01 12:41:03",2923.0,0.000984876103732, , , , , , , , , , ,1,1, , ,1, , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , ,1,1, ,1, , ,1,1,1,1, , , , , , , ,1, , , , ,1, ,1, , , ,1, , , ,1, , ,1,1, , , , ,1, , ,1, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, ,1, ,1, , , , ,1, , ,1,1, , , , , ,1,1, ,1, ,1,1, , ,1,1,1, , , ,1, , 
