dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 16:18:15.0,2018-10-05 20:09:07.0,13852,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-05 20:25:07.0,2018-10-05 20:29:06.0,239,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-08 13:58:12.0,2018-10-08 14:05:32.0,440,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-08 14:07:12.0,2018-10-08 14:13:54.0,402,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-18 16:59:35.0,2018-10-18 17:04:35.0,300,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-22 20:47:07.0,2018-10-22 21:14:03.0,1616,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-26 16:34:01.0,2018-10-26 16:38:01.0,240,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-26 17:58:01.0,2018-10-26 22:28:18.0,16217,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 19:03:21.0,2018-10-29 19:07:17.0,236,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-30 12:29:50.0,2018-10-30 13:31:17.0,3687,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
