dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-04 14:04:57.0,2018-10-04 14:08:42.0,225,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-05 16:17:34.0,2018-10-05 20:08:25.0,13851,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-05 20:25:25.0,2018-10-05 20:28:25.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-08 13:58:31.0,2018-10-08 14:04:31.0,360,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-08 14:07:31.0,2018-10-08 14:10:16.0,165,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-19 00:27:10.0,2018-10-19 00:30:11.0,181,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-19 00:30:11.0,2018-10-19 00:36:35.0,384,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-22 20:47:25.0,2018-10-22 21:14:22.0,1617,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-26 16:34:20.0,2018-10-26 16:37:20.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-26 19:51:20.0,2018-10-26 23:07:26.0,11766,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 17:18:08.0,2018-10-29 17:21:20.0,192,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 17:23:29.0,2018-10-29 17:26:27.0,178,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 19:03:30.0,2018-10-29 19:06:26.0,176,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 20:54:26.0,2018-10-29 21:09:00.0,874,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-30 12:29:59.0,2018-10-30 13:31:26.0,3687,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-31 10:52:26.0,2018-10-31 10:55:45.0,199,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-11-01 13:07:26.0,2018-11-01 13:10:26.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
