dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-02 17:49:22.0,2018-10-02 18:01:49.0,747,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-04 13:07:26.0,2018-10-04 13:10:26.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-05 19:24:29.0,2018-10-05 19:28:20.0,231,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-22 20:47:18.0,2018-10-22 21:14:14.0,1616,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-25 19:36:13.0,2018-10-25 19:44:40.0,507,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-27 04:55:46.0,2018-10-27 08:38:42.0,13376,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-30 12:29:18.0,2018-10-30 13:30:45.0,3687,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-30 18:37:45.0,2018-10-30 18:40:46.0,181,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 12:03:45.0,2018-11-01 12:53:37.0,2992,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 16:08:16.0,2018-11-01 16:12:29.0,253,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 16:17:15.0,2018-11-01 16:22:28.0,313,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 16:23:33.0,2018-11-01 16:27:12.0,219,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
