dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 19:25:07.0,2018-10-05 19:28:59.0,232,MSRPNAS1_SWL3_proxy06,Trunk322,
2018-10-17 18:27:36.0,2018-10-17 18:31:37.0,241,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-17 18:33:37.0,2018-10-17 18:36:09.0,152,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-22 20:47:28.0,2018-10-22 21:13:54.0,1586,MSRPNAS1_SWL3_proxy06,Trunk322,
2018-10-26 16:34:05.0,2018-10-26 16:38:05.0,240,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-26 19:51:05.0,2018-10-26 22:28:00.0,9415,MSRPNAS1_SWL3_proxy06,Trunk322,
2018-10-29 19:03:33.0,2018-10-29 19:07:22.0,229,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-30 12:29:54.0,2018-10-30 13:30:30.0,3636,MSRPNAS1_SWL3_proxy06,Trunk322,
2018-11-01 16:08:22.0,2018-11-01 16:12:39.0,257,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-11-01 16:18:00.0,2018-11-01 16:21:18.0,198,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-11-01 16:23:59.0,2018-11-01 16:27:18.0,199,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
