dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 16:16:15.0,2018-10-05 20:09:07.0,13972,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-05 20:23:06.0,2018-10-05 20:29:06.0,360,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 13:58:12.0,2018-10-08 14:05:32.0,440,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 14:07:12.0,2018-10-08 14:13:55.0,403,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-18 16:59:35.0,2018-10-18 17:03:51.0,256,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 03:04:40.0,2018-10-19 03:07:10.0,150,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-22 20:47:07.0,2018-10-22 21:14:03.0,1616,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-26 16:34:01.0,2018-10-26 16:38:01.0,240,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-26 19:51:01.0,2018-10-26 23:07:07.0,11766,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-27 13:33:08.0,2018-10-27 13:47:19.0,851,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 19:03:21.0,2018-10-29 19:07:18.0,237,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 22:47:52.0,2018-10-29 22:51:51.0,239,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 23:01:52.0,2018-10-29 23:04:56.0,184,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 23:04:56.0,2018-10-29 23:09:54.0,298,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-30 12:29:51.0,2018-10-30 13:31:17.0,3686,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
