dh_inicio,dh_termino,ID,chamados,localidade_id
2018-10-18 17:03:54,2018-10-18 17:10:00,1760,MSOMJRD,MSOMJRD_1760
2018-10-18 17:03:54,2018-10-18 17:10:00,1760,MSRPCGR,MSRPCGR_1760
2018-10-17 18:09:48,2018-10-17 19:05:35,1749,MSOMJRD,MSOMJRD_1749
2018-10-17 18:09:48,2018-10-17 19:05:35,1749,MSRPDOU,MSRPDOU_1749
2018-10-17 18:09:48,2018-10-17 19:05:35,1749,MSOMDOU,MSOMDOU_1749
2018-10-17 18:09:48,2018-10-17 19:05:35,1749,MSOMCGR,MSOMCGR_1749
2018-10-17 18:09:48,2018-10-17 19:05:35,1749,MSRPCGR,MSRPCGR_1749
2018-10-16 18:17:50,2018-10-16 19:10:47,1748,MSOMDOU,MSOMDOU_1748
2018-10-16 18:17:50,2018-10-16 19:10:47,1748,MSRPDOU,MSRPDOU_1748
2018-10-08 10:00:00,2018-10-08 19:00:00,1735,MSRPMPX,MSRPMPX_1735
2018-10-08 10:00:00,2018-10-08 19:00:00,1735,MSRPFDI,MSRPFDI_1735
2018-10-08 10:00:00,2018-10-08 19:00:00,1735,MSRPMRD,MSRPMRD_1735
2018-10-08 10:00:00,2018-10-08 19:00:00,1735,MSRPAQD,MSRPAQD_1735
2018-10-08 10:00:00,2018-10-08 19:00:00,1735,MSRPFGR,MSRPFGR_1735
2018-10-08 14:13:59,2018-10-08 14:27:43,1732,MSRPDOU,MSRPDOU_1732
2018-10-08 14:13:59,2018-10-08 14:27:43,1732,MSRPRBR,MSRPRBR_1732
2018-09-28 16:54:09,2018-09-28 17:02:09,1721,MSOMJRD,MSOMJRD_1721
2018-09-24 10:12:39,2018-09-24 10:33:21,1720,MSOMJRD,MSOMJRD_1720
2018-09-21 16:58:08,2018-09-21 21:24:08,1719,MSOMJRD,MSOMJRD_1719
2018-10-02 18:00:00,2018-10-02 20:00:00,1715,MSRPMMA,MSRPMMA_1715
2018-10-02 18:00:00,2018-10-02 20:00:00,1715,MSOMCARC,MSOMCARC_1715
2018-10-02 18:00:00,2018-10-02 20:00:00,1715,MSRPATJ,MSRPATJ_1715
2018-10-02 18:00:00,2018-10-02 20:00:00,1715,MSRPBLV,MSRPBLV_1715
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,Savis,Savis_1692
2018-09-02 03:00:00,2018-09-02 03:25:00,1624,MSOMCGR,MSOMCGR_1624
2018-07-14 07:00:00,2018-07-15 19:00:00,1543,MSRPNVL,MSRPNVL_1543
2018-07-14 07:00:00,2018-07-15 19:00:00,1542,MSRPMPX,MSRPMPX_1542
2018-07-07 01:00:00,2018-07-07 14:00:00,1531,Savis,Savis_1531
2018-07-03 16:00:00,2018-07-04 09:40:00,1526,MSRPNOQ,MSRPNOQ_1526
2018-07-02 14:50:00,2018-07-04 09:40:00,1523,MSOMJRD,MSOMJRD_1523
2018-06-30 00:00:00,2018-06-30 19:00:00,1520,Savis,Savis_1520
2018-06-23 17:30:00,2018-06-23 18:01:00,1509,Savis,Savis_1509
2018-05-03 16:55:00,2018-05-07 20:00:00,1482,MSOMCARC,MSOMCARC_1482
2018-06-08 09:00:00,2018-06-11 21:00:00,1471,MSRPMMA,MSRPMMA_1471
2018-06-08 00:00:00,2018-06-11 21:00:00,1459,MSOMJRD,MSOMJRD_1459
2018-05-24 14:58:26,2018-05-24 16:43:05,1433,MSRPNAS,MSRPNAS_1433
2018-05-18 11:20:09,2018-05-25 12:00:03,1417,MSOMCGR,MSOMCGR_1417
2018-05-03 16:55:12,2018-05-07 20:00:00,1372,MSOMBLV,MSOMBLV_1372
2018-05-10 09:00:00,2018-05-10 18:00:00,1371,MSRPTCU,MSRPTCU_1371
2018-03-26 12:39:00,2018-03-28 18:01:20,1276,MSOMMNO,MSOMMNO_1276
2018-03-22 17:26:00,2018-03-23 17:33:21,1265,MSRPRBR,MSRPRBR_1265
2018-03-19 19:17:30,2018-03-19 19:42:15,1251,MSRPPPR,MSRPPPR_1251
2018-03-18 11:51:13,2018-03-18 15:56:02,1245,MSOMJRD,MSOMJRD_1245
2018-02-23 10:54:00,2018-02-23 15:15:22,1166,MSRPTCU,MSRPTCU_1166
2018-02-09 10:01:00,2018-02-09 13:54:20,1128,MSRPRBR,MSRPRBR_1128
2018-02-05 17:46:00,2018-02-05 20:38:55,1106,MSRPMMA,MSRPMMA_1106
2018-01-25 11:20:00,2018-01-25 16:51:33,1042,MSRPMPX,MSRPMPX_1042
2018-01-24 12:41:00,2018-01-24 15:48:30,1034,MSRPMPX,MSRPMPX_1034
2017-10-01 17:27:30,2017-10-03 20:24:30,570,MSRPTCU,MSRPTCU_570
2017-09-29 02:36:30,2017-10-06 11:28:16,559,MSOMCGR,MSOMCGR_559
2017-09-09 07:12:00,2017-09-09 07:30:00,468,MSRPTCU,MSRPTCU_468
