dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-03-01 16:05:08.0,2019-03-04 11:18:56.0,242028,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-04 13:06:56.0,2019-03-04 14:00:56.0,3240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-04 16:06:57.0,2019-03-04 16:19:57.0,780,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-06 18:58:56.0,2019-03-06 19:41:57.0,2581,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-07 10:36:56.0,2019-03-07 10:45:36.0,520,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 14:34:56.0,2019-03-13 15:06:56.0,1920,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:13:04.0,2019-03-13 15:16:11.0,187,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:16:11.0,2019-03-13 15:18:56.0,165,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:18:56.0,2019-03-13 15:23:00.0,244,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:23:57.0,2019-03-13 15:27:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:30:01.0,2019-03-13 15:36:13.0,372,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:41:56.0,2019-03-13 15:44:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 15:50:56.0,2019-03-13 16:00:57.0,601,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:01:56.0,2019-03-13 16:10:56.0,540,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:10:56.0,2019-03-13 16:13:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:14:56.0,2019-03-13 16:19:56.0,300,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:20:56.0,2019-03-13 16:23:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:23:56.0,2019-03-13 16:27:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:27:56.0,2019-03-13 16:30:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:30:56.0,2019-03-13 16:33:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 16:51:57.0,2019-03-13 16:59:27.0,450,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 17:00:56.0,2019-03-13 17:03:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 17:07:26.0,2019-03-13 17:10:26.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 17:10:26.0,2019-03-13 17:16:56.0,390,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 17:20:57.0,2019-03-13 17:24:27.0,210,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-13 19:39:56.0,2019-03-13 19:42:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-18 13:43:57.0,2019-03-18 13:48:14.0,257,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-28 19:17:57.0,2019-03-28 19:22:57.0,300,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-28 19:24:27.0,2019-03-28 19:27:58.0,211,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
