dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-03-23 03:52:54.0,2019-03-23 03:53:54.0,60,,4,1
2019-03-23 05:54:54.0,2019-03-23 05:55:54.0,60,,4,1
2019-03-23 06:04:54.0,2019-03-23 06:05:54.0,60,,4,1
2019-03-30 22:41:54.0,2019-03-30 22:42:54.0,60,,4,1
2019-03-30 23:56:54.0,2019-03-30 23:58:54.0,120,,4,1
2019-03-31 01:48:54.0,2019-03-31 01:49:54.0,60,,4,1
2019-03-31 01:55:54.0,2019-03-31 01:56:54.0,60,,4,1
2019-03-31 02:37:54.0,2019-03-31 02:38:54.0,60,,4,1
2019-03-31 07:09:54.0,2019-03-31 07:10:54.0,60,,4,1
2019-03-31 07:18:54.0,2019-03-31 07:19:54.0,60,,4,1
2019-03-31 07:27:54.0,2019-03-31 07:28:54.0,60,,4,1
2019-03-31 07:33:54.0,2019-03-31 07:34:54.0,60,,4,1
2019-03-31 07:35:54.0,2019-03-31 07:36:54.0,60,,4,1
2019-03-31 07:46:54.0,2019-03-31 07:47:54.0,60,,4,1
2019-03-31 22:30:54.0,2019-03-31 22:31:54.0,60,,4,1
2019-04-01 01:01:54.0,2019-04-01 01:02:54.0,60,,4,1
2019-04-01 02:24:54.0,2019-04-01 02:25:54.0,60,,4,1
2019-04-01 02:48:54.0,2019-04-01 02:49:54.0,60,,4,1
2019-04-01 02:50:54.0,2019-04-01 02:51:54.0,60,,4,1
2019-04-01 02:54:54.0,2019-04-01 02:55:54.0,60,,4,1
2019-04-01 03:32:54.0,2019-04-01 03:33:54.0,60,,4,1
2019-04-01 03:34:54.0,2019-04-01 03:35:54.0,60,,4,1
2019-04-01 03:40:54.0,2019-04-01 03:41:54.0,60,,4,1
2019-04-01 03:45:54.0,2019-04-01 03:46:54.0,60,,4,1
2019-04-01 03:49:54.0,2019-04-01 03:51:54.0,120,,4,1
2019-04-01 04:16:54.0,2019-04-01 04:19:54.0,180,,4,1
2019-04-01 04:22:54.0,2019-04-01 04:27:54.0,300,,4,1
2019-04-01 04:33:54.0,2019-04-01 04:39:54.0,360,,4,1
2019-04-01 04:41:54.0,2019-04-01 04:42:54.0,60,,4,1
2019-04-01 04:46:54.0,2019-04-01 04:53:54.0,420,,4,1
2019-04-01 05:02:54.0,2019-04-01 05:03:54.0,60,,4,1
2019-04-01 05:07:54.0,2019-04-01 05:09:54.0,120,,4,1
2019-04-01 05:30:24.0,2019-04-01 05:32:54.0,150,,4,1
