dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-03-01 11:56:42.0,2019-03-01 11:57:41.0,59,,4,1
2019-03-07 10:35:37.0,2019-03-07 10:36:37.0,60,,4,1
2019-03-08 09:19:38.0,2019-03-08 09:20:37.0,59,,4,1
2019-03-11 09:57:37.0,2019-03-11 09:58:37.0,60,,4,1
2019-03-11 15:28:38.0,2019-03-11 15:29:37.0,59,,4,1
2019-03-12 16:06:37.0,2019-03-12 16:07:37.0,60,,4,1
2019-03-19 08:45:37.0,2019-03-19 08:46:37.0,60,,4,1
2019-03-26 18:32:37.0,2019-03-26 18:33:37.0,60,,4,1
2019-03-28 09:15:37.0,2019-03-28 09:16:37.0,60,,4,1
2019-03-28 09:32:37.0,2019-03-28 09:33:37.0,60,,4,1
2019-03-28 09:35:37.0,2019-03-28 09:36:37.0,60,,4,1
