dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-03-13 14:22:14.0,2019-03-13 14:24:14.0,120,,4,1
2019-03-18 13:25:14.0,2019-03-18 13:27:14.0,120,,4,1
2019-03-18 13:30:14.0,2019-03-18 13:32:14.0,120,,4,1
2019-03-20 12:02:14.0,2019-03-20 12:04:14.0,120,,4,1
2019-03-20 12:20:14.0,2019-03-21 14:45:14.0,95100,,4,1
2019-03-22 09:01:14.0,2019-03-22 09:03:14.0,120,,4,1
2019-03-22 09:24:14.0,2019-03-22 09:27:14.0,180,,4,1
2019-03-22 09:47:14.0,2019-03-22 09:49:14.0,120,,4,1
2019-03-22 17:27:14.0,2019-03-25 16:50:14.0,256980,,4,1
2019-03-28 17:51:14.0,2019-03-28 17:54:14.0,180,,4,1
2019-03-29 02:40:14.0,2019-03-29 02:42:14.0,120,,4,1
2019-04-01 00:13:15.0,2019-04-01 00:15:14.0,119,,4,1
