dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-20 05:16:18.0,2019-02-20 05:17:18.0,60,,4,1
2019-02-20 05:19:18.0,2019-02-20 05:20:18.0,60,,4,1
2019-02-20 05:41:18.0,2019-02-20 05:42:18.0,60,,4,1
2019-02-20 05:50:18.0,2019-02-20 05:51:18.0,60,,4,1
2019-02-20 06:15:18.0,2019-02-20 06:16:19.0,61,,4,1
2019-02-20 06:17:18.0,2019-02-20 06:18:18.0,60,,4,1
2019-02-20 06:23:22.0,2019-02-20 06:24:18.0,56,,4,1
2019-02-20 07:17:18.0,2019-02-20 07:19:18.0,120,,4,1
2019-02-20 07:26:18.0,2019-02-20 07:27:18.0,60,,4,1
2019-02-20 07:40:18.0,2019-02-20 07:42:18.0,120,,4,1
2019-02-22 20:45:17.0,2019-02-22 20:47:17.0,120,,4,1
