dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-02-05 16:55:14.0,2019-02-05 16:59:36.0,262,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-05 17:25:30.0,2019-02-05 21:18:25.0,13975,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-05 22:02:30.0,2019-02-11 10:05:37.0,475387,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-14 04:32:30.0,2019-02-14 04:40:17.0,467,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-02-14 10:29:31.0,2019-02-14 10:36:38.0,427,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-02-14 15:17:31.0,2019-02-14 15:25:32.0,481,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-14 16:16:30.0,2019-02-14 16:45:57.0,1767,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-02-15 02:45:15.0,2019-02-15 03:05:02.0,1187,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-02-15 12:25:30.0,2019-02-15 13:00:57.0,2127,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-15 13:30:31.0,2019-02-15 13:41:21.0,650,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-15 15:52:31.0,2019-02-18 12:11:49.0,249558,MSRPNAS1_SWL3_proxy06,Trunk322,
2019-02-18 12:24:30.0,2019-02-27 13:48:47.0,782657,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
