dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-05 16:55:39.0,2019-02-05 16:58:44.0,185,,4,1
2019-02-05 17:26:38.0,2019-02-05 17:35:38.0,540,,4,1
2019-02-05 17:37:38.0,2019-02-05 21:17:38.0,13200,,4,1
2019-02-05 22:03:39.0,2019-02-11 10:03:38.0,475199,,4,1
2019-02-14 04:33:39.0,2019-02-14 04:38:38.0,299,,4,1
2019-02-14 10:30:39.0,2019-02-14 10:32:38.0,119,,4,1
2019-02-14 15:18:39.0,2019-02-14 15:22:39.0,240,,4,1
2019-02-14 16:17:38.0,2019-02-14 16:19:39.0,121,,4,1
2019-02-15 02:45:39.0,2019-02-15 02:48:39.0,180,,4,1
2019-02-15 12:26:38.0,2019-02-15 12:33:39.0,421,,4,1
2019-02-15 13:31:38.0,2019-02-15 13:39:38.0,480,,4,1
2019-02-15 15:53:39.0,2019-02-18 12:10:39.0,249420,,4,1
2019-02-18 12:25:39.0,2019-02-27 13:46:33.0,782454,,4,1
