dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-08-05 04:43:58.0,2019-08-05 04:47:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-14 03:52:58.0,2019-08-14 03:56:16.0,198,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-14 03:56:16.0,2019-08-14 04:05:58.0,582,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 07:50:58.0,2019-08-16 07:54:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 07:54:58.0,2019-08-16 08:05:06.0,608,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:05:58.0,2019-08-16 08:11:58.0,360,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:22:29.0,2019-08-16 08:25:02.0,153,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:34:58.0,2019-08-16 08:38:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:40:28.0,2019-08-16 08:42:58.0,150,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:45:58.0,2019-08-16 08:52:04.0,366,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:52:58.0,2019-08-16 08:56:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 08:57:58.0,2019-08-16 09:01:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:01:58.0,2019-08-16 09:08:28.0,390,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:09:58.0,2019-08-16 09:16:58.0,420,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:26:58.0,2019-08-16 09:31:58.0,300,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:32:58.0,2019-08-16 09:38:58.0,360,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:42:58.0,2019-08-16 09:45:58.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 09:47:59.0,2019-08-16 09:50:58.0,179,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 14:43:58.0,2019-08-16 14:46:58.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 14:47:58.0,2019-08-16 14:51:28.0,210,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 14:51:28.0,2019-08-16 14:56:59.0,331,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-08-16 14:56:59.0,2019-08-16 15:00:58.0,239,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
