time_ini,time_end,duration_seg,duration_percent,ref_2019_07_25,ref_2019_07_24,ref_2019_07_27,ref_2019_07_26,ref_2019_07_21,ref_2019_07_20,ref_2019_07_23,ref_2019_07_22,ref_2019_07_29,ref_2019_07_28,ref_Periodo,RPFDIxRPMPX_ativado,OMCCLxRPATJ_ativado,chamados_MSRPJRD,localidade_id_MSOMJRD_2496,ref_2019_07_10,ref_2019_07_11,ref_2019_07_12,ref_2019_07_13,ref_2019_07_14,ref_2019_07_15,ref_2019_07_16,ref_2019_07_17,ref_2019_07_18,ref_2019_07_19,chamados_MSRPMMA,RPMRDxRPFGR_ativado,OMJRDxRPJRD_ativado,chamados_MSOMJRD,RPJRD_nOK_0001,RPJRD_nOK_0002,RPAMBxRPTCU_ativado,localidade_id_MSRPMMA_2496,OMJRD_nOK_0001,RPNASxRPRBR_ativado,RPPPR_nOK_0002,RPPPR_nOK_0004,OMCARCxRPFSJ_ativado,ref_2019_07_31,ref_2019_06,ref_2019_07,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,localidade_id_MSOMCCL_2496,localidade_id_MSRPATJ_2496,OMCARC_nOK_0001,Chamados_Desconto,ref_2019_07_09,ref_2019_07_08,ref_2019_07_07,ref_2019_07_06,ref_2019_07_05,ref_2019_07_04,ref_2019_07_03,ref_2019_07_02,ref_2019_07_01,chamados_MSOMCCL,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,localidade_id_MSOMBLV_2496,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,OMBLV_nOK_0001,RPAMO_nOK_0002,RPFDI_nOK_0001,ref_2019_06_30,RPAMO1_nOK_0001,chamados_MSRPATJ,RPATJ_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMIGTxOMMNO_ativado,OMCGRxRPNVL_ativado,localidade_id_MSRPJRD_2496,ref_2019_07_30,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPAMOxRPAMB_ativado,RPMRDxOMAQD_ativado,RPMPXxRPSPE_ativado,RPJRDxRPMMA_ativado,chamados_MSOMBLV,RPNOQxOMJRD_ativado,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPSPExRPNOQ_ativado
"2019-06-30 00:00:00","2019-06-30 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , ,1,1, , , ,1, , ,1, , , , ,1, ,1,1, ,1,1,1,1, , , , , , , , , , , , , , ,1,1,1,1, ,1,1,1,1,1, , , ,1, , , ,1,1,1,1, , ,1,1,1,1,1,1, ,1,1,1,1,1
"2019-06-30 23:59:59","2019-07-01 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , ,1,1, , , ,1, , ,1, , , , , , ,1,1, ,1,1,1,1, , , , , , , , , , , , , , ,1,1,1,1, ,1,1,1,1,1, , , , , , , ,1,1,1,1, , ,1,1,1,1,1,1, ,1,1,1,1,1
"2019-07-01 00:00:00","2019-07-01 05:00:00",18000.0,0.00651041902142, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , , , , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-01 05:00:00","2019-07-01 23:59:59",68399.0,0.0247392305914, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-01 23:59:59","2019-07-02 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-02 00:00:00","2019-07-02 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , ,1, ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-02 23:59:59","2019-07-03 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-03 00:00:00","2019-07-03 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , ,1, , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-03 23:59:59","2019-07-04 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-04 00:00:00","2019-07-04 16:07:37",58057.0,0.0209986331737, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , ,1, , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
