dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-06-11 00:41:33.0,2019-06-11 00:44:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 00:47:33.0,2019-06-11 00:52:03.0,270,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 00:53:33.0,2019-06-11 00:56:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:04:03.0,2019-06-11 01:06:33.0,150,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:13:33.0,2019-06-11 01:17:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:19:33.0,2019-06-11 01:23:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:24:33.0,2019-06-11 01:27:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:38:33.0,2019-06-11 01:44:33.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:45:33.0,2019-06-11 01:48:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:48:33.0,2019-06-11 01:54:33.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:05:33.0,2019-06-11 02:08:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:16:33.0,2019-06-11 02:20:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:23:34.0,2019-06-11 02:27:33.0,239,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:30:33.0,2019-06-11 02:33:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:51:03.0,2019-06-11 02:54:33.0,210,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:13:03.0,2019-06-11 03:16:03.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:28:33.0,2019-06-11 03:32:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:54:33.0,2019-06-11 03:58:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:04:34.0,2019-06-11 04:07:33.0,179,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:11:33.0,2019-06-11 04:16:03.0,270,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:20:33.0,2019-06-11 04:27:03.0,390,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:56:33.0,2019-06-11 05:00:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:05:33.0,2019-06-11 05:08:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:30:33.0,2019-06-11 05:33:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:33:33.0,2019-06-11 05:38:33.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:40:33.0,2019-06-11 05:44:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:57:33.0,2019-06-11 06:01:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:03:33.0,2019-06-11 06:09:33.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:13:33.0,2019-06-11 06:16:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:44:33.0,2019-06-11 06:48:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:51:33.0,2019-06-11 06:55:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:02:33.0,2019-06-11 07:06:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:18:33.0,2019-06-11 07:24:33.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:38:33.0,2019-06-11 07:42:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:42:33.0,2019-06-11 07:46:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:47:33.0,2019-06-11 07:50:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:51:33.0,2019-06-11 07:54:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:06:33.0,2019-06-11 08:10:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:22:03.0,2019-06-11 08:25:34.0,211,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:46:03.0,2019-06-11 08:49:03.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:53:33.0,2019-06-11 08:57:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:17:33.0,2019-06-11 09:20:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:51:03.0,2019-06-11 09:54:33.0,210,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:54:33.0,2019-06-11 09:58:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:07:33.0,2019-06-11 10:11:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:23:33.0,2019-06-11 10:26:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:27:33.0,2019-06-11 10:30:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 11:57:33.0,2019-06-12 12:08:33.0,660,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:11:04.0,2019-06-12 12:18:04.0,420,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:18:04.0,2019-06-12 12:24:33.0,389,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:56:33.0,2019-06-12 13:00:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-17 18:57:33.0,2019-06-17 19:02:33.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-18 17:04:33.0,2019-06-18 17:09:33.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
