dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-06-11 00:28:41.0,2019-06-11 00:31:41.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 00:31:41.0,2019-06-11 00:35:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 00:46:41.0,2019-06-11 00:50:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 01:07:41.0,2019-06-11 01:10:41.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 01:49:42.0,2019-06-11 01:53:12.0,210,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 02:15:42.0,2019-06-11 02:19:41.0,239,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 02:55:42.0,2019-06-11 02:59:41.0,239,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:08:41.0,2019-06-11 03:13:11.0,270,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:13:11.0,2019-06-11 03:16:41.0,210,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:16:41.0,2019-06-11 03:20:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:35:41.0,2019-06-11 03:39:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:39:41.0,2019-06-11 03:50:41.0,660,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 03:54:41.0,2019-06-11 03:58:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 04:16:12.0,2019-06-11 04:19:41.0,209,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 04:24:41.0,2019-06-11 04:28:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 04:52:41.0,2019-06-11 04:55:41.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 04:56:41.0,2019-06-11 05:00:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 05:15:41.0,2019-06-11 05:18:41.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 05:22:11.0,2019-06-11 05:25:41.0,210,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 05:27:41.0,2019-06-11 05:31:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 05:35:41.0,2019-06-11 05:39:41.0,240,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2019-06-11 06:54:41.0,2019-06-11 06:59:11.0,270,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
