dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-06-11 00:37:05.0,2019-06-11 00:41:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 00:50:05.0,2019-06-11 00:53:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 00:58:35.0,2019-06-11 01:01:05.0,150,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:02:05.0,2019-06-11 01:05:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:09:05.0,2019-06-11 01:13:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:13:05.0,2019-06-11 01:17:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:32:05.0,2019-06-11 01:36:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:38:05.0,2019-06-11 01:42:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:45:05.0,2019-06-11 01:51:05.0,360,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 01:59:05.0,2019-06-11 02:02:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 02:02:05.0,2019-06-11 02:05:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 02:16:35.0,2019-06-11 02:20:05.0,210,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 02:24:35.0,2019-06-11 02:28:05.0,210,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 02:29:05.0,2019-06-11 02:32:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 03:18:05.0,2019-06-11 03:22:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 03:27:05.0,2019-06-11 03:31:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 03:35:05.0,2019-06-11 03:38:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 03:53:05.0,2019-06-11 03:57:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:02:05.0,2019-06-11 04:07:35.0,330,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:08:05.0,2019-06-11 04:12:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:22:35.0,2019-06-11 04:26:35.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:37:05.0,2019-06-11 04:41:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:41:05.0,2019-06-11 04:45:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:51:05.0,2019-06-11 04:55:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 04:59:35.0,2019-06-11 05:02:05.0,150,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 05:04:05.0,2019-06-11 05:08:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 05:10:05.0,2019-06-11 05:14:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 05:31:35.0,2019-06-11 05:34:05.0,150,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 05:52:05.0,2019-06-11 05:56:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 06:23:05.0,2019-06-11 06:27:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 06:47:07.0,2019-06-11 06:50:05.0,178,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 07:02:05.0,2019-06-11 07:05:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 07:20:35.0,2019-06-11 07:24:05.0,210,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 08:35:05.0,2019-06-11 08:39:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 08:47:05.0,2019-06-11 08:51:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 08:53:05.0,2019-06-11 08:57:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 08:59:05.0,2019-06-11 09:02:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 09:02:05.0,2019-06-11 09:06:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 09:27:05.0,2019-06-11 09:31:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 09:31:35.0,2019-06-11 09:34:35.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 09:35:05.0,2019-06-11 09:38:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 09:42:05.0,2019-06-11 09:46:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 10:06:05.0,2019-06-11 10:11:05.0,300,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 10:12:05.0,2019-06-11 10:18:05.0,360,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-11 10:23:05.0,2019-06-11 10:27:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-12 11:57:05.0,2019-06-12 12:08:07.0,662,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-12 12:08:07.0,2019-06-12 12:13:38.0,331,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-12 12:14:05.0,2019-06-12 12:24:05.0,600,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-17 18:58:05.0,2019-06-17 19:02:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-17 19:02:05.0,2019-06-17 19:05:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-06-18 09:36:05.0,2019-06-18 09:39:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
