dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-06-11 00:25:45.0,2019-06-11 00:30:45.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 00:33:15.0,2019-06-11 00:36:45.0,210,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 00:46:45.0,2019-06-11 00:50:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:36:45.0,2019-06-11 01:40:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:43:45.0,2019-06-11 01:46:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:47:45.0,2019-06-11 01:51:46.0,241,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:51:46.0,2019-06-11 01:55:45.0,239,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 01:57:16.0,2019-06-11 02:00:45.0,209,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 02:06:45.0,2019-06-11 02:10:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:21:45.0,2019-06-11 03:25:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:34:45.0,2019-06-11 03:37:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:37:45.0,2019-06-11 03:40:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:40:45.0,2019-06-11 03:44:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:46:45.0,2019-06-11 03:49:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 03:54:45.0,2019-06-11 03:59:15.0,270,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:01:45.0,2019-06-11 04:06:15.0,270,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:11:15.0,2019-06-11 04:15:15.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:15:45.0,2019-06-11 04:18:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 04:25:45.0,2019-06-11 04:29:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:32:45.0,2019-06-11 05:35:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:36:45.0,2019-06-11 05:39:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:42:45.0,2019-06-11 05:46:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 05:47:45.0,2019-06-11 05:51:15.0,210,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:12:45.0,2019-06-11 06:15:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:19:45.0,2019-06-11 06:23:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 06:28:45.0,2019-06-11 06:31:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:21:45.0,2019-06-11 07:24:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:25:45.0,2019-06-11 07:28:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:36:45.0,2019-06-11 07:40:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:43:45.0,2019-06-11 07:46:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 07:46:45.0,2019-06-11 07:50:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:07:45.0,2019-06-11 08:11:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:13:46.0,2019-06-11 08:16:45.0,179,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 08:59:45.0,2019-06-11 09:02:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:06:15.0,2019-06-11 09:09:45.0,210,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:11:45.0,2019-06-11 09:15:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 09:19:45.0,2019-06-11 09:23:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:01:45.0,2019-06-11 10:04:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:06:45.0,2019-06-11 10:13:45.0,420,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:16:45.0,2019-06-11 10:20:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:20:45.0,2019-06-11 10:24:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:26:45.0,2019-06-11 10:29:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:31:45.0,2019-06-11 10:34:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:46:45.0,2019-06-11 10:50:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 10:50:45.0,2019-06-11 10:54:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-11 11:04:45.0,2019-06-11 11:07:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 11:57:46.0,2019-06-12 12:08:07.0,621,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:08:45.0,2019-06-12 12:11:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:13:45.0,2019-06-12 12:16:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 12:17:45.0,2019-06-12 12:23:45.0,360,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 15:31:45.0,2019-06-12 15:39:46.0,481,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 16:08:45.0,2019-06-12 16:11:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 16:30:45.0,2019-06-12 16:35:45.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-12 16:36:45.0,2019-06-12 16:41:45.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-17 18:57:45.0,2019-06-17 19:02:45.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-18 17:04:45.0,2019-06-18 17:08:45.0,240,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-06-21 03:03:45.0,2019-06-21 03:06:45.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
