time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,RPJRDxRPMMA_ativado,ref_2019_06_17,OMCCL_SColTempo_0004_delta_tempo,ref_2019_06_15,localidade_id_MSOMCGR_2496,ref_2019_06_13,chamados_MSRPAMB,ref_2019_06_11,ref_2019_06_10,chamados_MSRPAMO,localidade_id_MSOMAQD_2496,ref_Periodo,RPFDIxRPMPX_ativado,ref_2019_06_19,ref_2019_06_18,chamados_MSRPBND,chamados_MSOMCGR,OMCCLxRPATJ_ativado,chamados_MSRPJRD,localidade_id_MSRPBND_2496,chamados_MSRPAMO1,localidade_id_MSOMJRD_2496,chamados_MSRPATJ,chamados_MSRPMMA,RPMRDxRPFGR_ativado,ref_2019_06,chamados_MSRPMMX,chamados_MSOMJRD,RPMMA_SColTempo_0003_delta_tempo,RPJRD_nOK_0001,OMBLV_SColTempo_0001_delta_tempo,RPAMBxRPTCU_ativado,ref_2019_06_14,localidade_id_MSRPMMA_2496,RPJRD_nOK_0002,ref_2019_06_12,RPJRD_SColTempo_0002_delta_tempo,chamados_MSOMNOQ,chamados_MSRPPPR,localidade_id_MSRPMRD_2496,localidade_id_MSRPNVL_2496,RPNASxRPRBR_ativado,RPAMO_SColTempo_0002_delta_tempo,RPJRD_SColTempo_0001_delta_tempo,RPFGR_SColTempo_0001_delta_tempo,RPNVL_nOK_0002,RPMMAxOMBLV_ativado,OMAQD_SColTempo_0002_delta_tempo,OMBLV_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,ref_2019_07,ref_2019_05,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,ref_2019_06_16,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,localidade_id_MSRPATJ_2496,Chamados_Desconto,RPBND_SColTempo_0003_delta_tempo,RPAMOxRPAMB_ativado,chamados_MSOMBLV,ref_2019_07_01,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,localidade_id_MSOMBLV_2496,RPRBRxRPDOU_ativado,localidade_id_MSRPAMO_2496,OMCGRxOMRCB_ativado,ref_2019_06_04,RPNVLxRPBND_ativado,RPMMA_SColTempo_0002_delta_tempo,RPMPXxRPSPE_ativado,OMCARC_SColTempo_0003_delta_tempo,RPCGRxRPNAS1_ativado,RPNOQxOMNOQ_ativado,RPMRD_SColTempo_0003_delta_tempo,OMJRD_nOK_0001,chamados_MSRPNOQ,RPMMA_nOK_0001,RPMMA_nOK_0002,ref_2019_06_28,ref_2019_06_29,ref_2019_06_26,ref_2019_06_27,ref_2019_06_24,ref_2019_06_25,ref_2019_06_22,ref_2019_06_23,ref_2019_06_20,ref_2019_06_21,OMBLV_nOK_0001,ref_2019_05_31,localidade_id_MSRPNOC_2496,RPMMA_SColTempo_0001_delta_tempo,localidade_id_MSRPAMB_2496,RPNVL_SColTempo_0003_delta_tempo,chamados_MSOMCARC,RPMPX_SColTempo_0003_delta_tempo,ref_2019_06_30,localidade_id_MSOMNOC_2496,RPAMO1_nOK_0001,RPAMO_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,localidade_id_MSRPAMO1_2496,OMIGTxOMMNO_ativado,OMCGRxRPNVL_ativado,localidade_id_MSRPJRD_2496,RPMRD_SColTempo_0002_delta_tempo,localidade_id_MSOMCARC_2496,RPNVLxRPTRN_ativado,chamados_MSRPNVL,localidade_id_MSRPPPR_2496,ref_2019_06_08,ref_2019_06_09,RPMRDxOMAQD_ativado,chamados_MSRPMRD,ref_2019_06_01,ref_2019_06_02,ref_2019_06_03,localidade_id_MSOMAQD_2484,ref_2019_06_05,ref_2019_06_06,ref_2019_06_07,localidade_id_MSRPMMX_2496,chamados_MSOMAQD,RPNOQxOMJRD_ativado,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPSPExRPNOQ_ativado,OMNOQ_SColTempo_0003_delta_tempo
"2019-05-31 00:00:00","2019-05-31 23:59:59",86399.0,0.0312496496129, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1, , , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, ,1,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-05-31 23:59:59","2019-06-01 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1, , , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-01 00:00:00","2019-06-01 23:59:59",86399.0,0.0312496496129, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, ,1, , , , , , , , ,1,1,1,1,1, 
"2019-06-01 23:59:59","2019-06-02 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-02 00:00:00","2019-06-02 23:59:59",86399.0,0.0312496496129, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , ,1, , , , , , , ,1,1,1,1,1, 
"2019-06-02 23:59:59","2019-06-03 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-03 00:00:00","2019-06-03 23:59:59",86399.0,0.0312496496129, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , ,1, , , , , , ,1,1,1,1,1, 
"2019-06-03 23:59:59","2019-06-04 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-04 00:00:00","2019-06-04 23:59:59",86399.0,0.0312496496129, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1,1,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-04 23:59:59","2019-06-05 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-05 00:00:00","2019-06-05 08:59:00",32340.0,0.0116970528418, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , ,1, , , , ,1,1,1,1,1, 
"2019-06-05 08:59:00","2019-06-05 08:59:45",45.0,1.62760475535E-05, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, ,1, ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , ,1,1, , , ,1,1,1,1,1,1, 
"2019-06-05 08:59:45","2019-06-05 09:15:45",960.0,0.000347222347809, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, ,1, ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , ,1,1, , , ,1,1,1,1,1,1, 
"2019-06-05 09:15:45","2019-06-05 09:16:00",15.0,5.42534918452E-06, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, ,1, ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , ,1,1, , , ,1,1,1,1,1,1, 
"2019-06-05 09:16:00","2019-06-05 23:59:59",53039.0,0.0191836730265, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , ,1, , , , ,1,1,1,1,1, 
"2019-06-05 23:59:59","2019-06-06 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
"2019-06-06 00:00:00","2019-06-06 13:02:21",46941.0,0.016978087738, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , ,1, , , ,1,1,1,1,1, 
"2019-06-06 13:02:21","2019-06-06 16:06:21",11040.0,0.0039930569998, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , ,11040, , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , ,1, , , ,1,1,1,1,1, 
"2019-06-06 16:06:21","2019-06-06 23:59:59",28418.0,0.010278504875, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , ,1, , , ,1,1,1,1,1, 
"2019-06-06 23:59:59","2019-06-07 00:00:00",1.0,3.61689945634E-07, ,1, , , , , , , , , , ,1,1, , , , ,1, , , , , , ,1,1, , , , , ,1, , , , , , , , , ,1, , , , ,1, , ,1, , ,1,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, ,1, ,1, ,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , ,1, , , , ,1, , , , , , , , , , ,1,1,1,1,1, 
