dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-04-01 01:01:54.0,2019-04-01 01:02:54.0,60,,4,1
2019-04-01 02:24:54.0,2019-04-01 02:25:54.0,60,,4,1
2019-04-01 02:48:54.0,2019-04-01 02:49:54.0,60,,4,1
2019-04-01 02:50:54.0,2019-04-01 02:51:54.0,60,,4,1
2019-04-01 02:54:54.0,2019-04-01 02:55:54.0,60,,4,1
2019-04-01 03:32:54.0,2019-04-01 03:33:54.0,60,,4,1
2019-04-01 03:34:54.0,2019-04-01 03:35:54.0,60,,4,1
2019-04-01 03:40:54.0,2019-04-01 03:41:54.0,60,,4,1
2019-04-01 03:45:54.0,2019-04-01 03:46:54.0,60,,4,1
2019-04-01 03:49:54.0,2019-04-01 03:51:54.0,120,,4,1
2019-04-01 04:16:54.0,2019-04-01 04:19:54.0,180,,4,1
2019-04-01 04:22:54.0,2019-04-01 04:27:54.0,300,,4,1
2019-04-01 04:33:54.0,2019-04-01 04:39:54.0,360,,4,1
2019-04-01 04:41:54.0,2019-04-01 04:42:54.0,60,,4,1
2019-04-01 04:46:54.0,2019-04-01 04:53:54.0,420,,4,1
2019-04-01 05:02:54.0,2019-04-01 05:03:54.0,60,,4,1
2019-04-01 05:07:54.0,2019-04-01 05:09:54.0,120,,4,1
2019-04-01 05:30:24.0,2019-04-01 05:32:54.0,150,,4,1
2019-04-08 23:36:54.0,2019-04-08 23:37:54.0,60,,4,1
2019-04-08 23:40:54.0,2019-04-08 23:41:54.0,60,,4,1
2019-04-13 01:39:54.0,2019-04-13 01:40:54.0,60,,4,1
2019-04-13 01:47:54.0,2019-04-13 01:48:54.0,60,,4,1
2019-04-13 01:58:54.0,2019-04-13 02:00:54.0,120,,4,1
2019-04-13 02:16:54.0,2019-04-13 02:17:54.0,60,,4,1
2019-04-16 08:43:54.0,2019-04-16 08:44:54.0,60,,4,1
2019-04-18 04:52:54.0,2019-04-18 04:53:54.0,60,,4,1
2019-04-18 07:59:54.0,2019-04-18 08:00:54.0,60,,4,1
2019-04-18 08:13:54.0,2019-04-18 08:16:54.0,180,,4,1
2019-04-18 08:28:54.0,2019-04-18 08:29:54.0,60,,4,1
2019-04-19 02:03:54.0,2019-04-19 02:04:54.0,60,,4,1
2019-04-19 02:06:54.0,2019-04-19 02:07:54.0,60,,4,1
