dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-12-13 20:50:46.0,2019-12-13 20:51:46.0,60,,4,1
2019-12-16 16:44:46.0,2019-12-16 16:45:46.0,60,,4,1
2019-12-16 17:09:46.0,2019-12-16 17:12:46.0,180,,4,1
2019-12-16 17:14:46.0,2019-12-16 17:17:46.0,180,,4,1
2019-12-19 16:34:46.0,2019-12-19 16:37:46.0,180,,4,1
2019-12-20 10:33:46.0,2019-12-20 10:34:46.0,60,,4,1
2019-12-23 17:09:46.0,2019-12-23 17:12:47.0,181,,4,1
2019-12-23 17:14:46.0,2019-12-23 17:16:46.0,120,,4,1
2019-12-27 16:40:46.0,2019-12-27 16:43:46.0,180,,4,1
2019-12-27 21:12:46.0,2019-12-27 21:14:46.0,120,,4,1
2019-12-30 17:09:46.0,2019-12-30 17:12:46.0,180,,4,1
2019-12-30 17:14:46.0,2019-12-30 17:17:46.0,180,,4,1
2019-12-31 14:32:46.0,2019-12-31 14:34:46.0,120,,4,1
