dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-12-18 23:21:50.0,2019-12-18 23:22:50.0,60,,4,1
2019-12-19 05:17:50.0,2019-12-19 05:18:50.0,60,,4,1
2019-12-31 15:15:50.0,2019-12-31 15:16:50.0,60,,4,1
2019-12-31 17:14:50.0,2019-12-31 17:15:50.0,60,,4,1
2019-12-31 18:44:50.0,2019-12-31 18:46:50.0,120,,4,1
2019-12-31 20:12:50.0,2019-12-31 20:13:50.0,60,,4,1
2020-01-01 00:47:50.0,2020-01-01 00:48:50.0,60,,4,1
2020-01-01 01:30:50.0,2020-01-01 01:31:50.0,60,,4,1
2020-01-01 03:54:50.0,2020-01-01 03:55:50.0,60,,4,1
2020-01-01 04:01:51.0,2020-01-01 04:03:50.0,119,,4,1
2020-01-01 05:28:50.0,2020-01-01 05:29:50.0,60,,4,1
2020-01-01 06:01:50.0,2020-01-01 06:02:50.0,60,,4,1
2020-01-01 06:05:50.0,2020-01-01 06:06:50.0,60,,4,1
2020-01-01 06:07:50.0,2020-01-01 06:08:50.0,60,,4,1
2020-01-01 06:20:50.0,2020-01-01 06:21:50.0,60,,4,1
2020-01-01 06:55:50.0,2020-01-01 06:57:50.0,120,,4,1
2020-01-01 07:39:50.0,2020-01-01 07:40:50.0,60,,4,1
