time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0004,ref_2019_12_16,RPBNDxRPSGO_ativado,RPSGO_SColTempo_0002_delta_tempo,ref_Periodo,RPFDIxRPMPX_ativado,RPSGO_nOK_0002,OMMNO_nOK_0001,ref_2019_12_30,ref_2019_12_31,OMCCLxRPATJ_ativado,ref_2019_12_22,RPMPX_nOK_0003,RPMPX_nOK_0002,RPFMA_SColTempo_0002_delta_tempo,RPMRDxRPFGR_ativado,chamados_MSOMJRD,ref_2019_12_23,localidade_id_MSOMJRD_1749,ref_2019_12_21,ref_2019_12_20,ref_2019_12_27,ref_2019_12_26,ref_2019_12_25,ref_2019_12_24,ref_2020_01_01,RPPMT_SColTempo_0002_delta_tempo,RPFSJ_SColTempo_0002_delta_tempo,RPAMBxRPTCU_ativado,ref_2019_11,RPFTB_nOK_0001,ref_2019_12,ref_2019_12_29,ref_2019_12_28,RPNASxRPRBR_ativado,RPPPR_nOK_0002,RPPPR_nOK_0004,RPFSJ_nOK_0003,RPSGOxRPFMA_ativado,OMCARCxRPFSJ_ativado,RPNVL_nOK_0001,RPPMT_SColTempo_0001_delta_tempo,OMCGR_nOK_0001,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPFTBxRPFXS_ativado,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,ref_2020_01_02,RPFGRxRPFTB_ativado,RPFSG_SColTempo_0001_delta_tempo,Chamados_Desconto,RPAMOxRPAMB_ativado,RPPMT1xOMBBR_ativado,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,ref_2019_12_08,RPFMA_SColTempo_0001_delta_tempo,RPFMAxRPFSG_ativado,RPFSJxRPPMT1_ativado,ref_2019_11_30,OMBLV_nOK_0002,RPPPRxRPAMO1_ativado,RPRBR_nOK_0002,ref_2019_12_03,ref_2019_12_02,RPAMO_nOK_0002,RPBND_nOK_0001,ref_2019_12_18,ref_2019_12_19,ref_2019_12_12,ref_2019_12_13,ref_2019_12_10,ref_2019_12_11,RPAMBxOMAMB_ativado,ref_2019_12_17,ref_2019_12_14,ref_2019_12_15,OMIGTxOMMNO_ativado,RPATJ_nOK_0001,RPFGR_nOK_0002,OMCGRxRPNVL_ativado,RPFSJxRPPMT_ativado,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPTRN_nOK_0002,RPMRDxOMAQD_ativado,RPMPXxRPSPE_ativado,ref_2019_12_09,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,ref_2019_12_01,RPNOQ_nOK_0003,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,ref_2019_12_05,ref_2019_12_04,ref_2019_12_07,ref_2019_12_06,RPPMTxOMPMT_ativado,RPSGO_SColTempo_0001_delta_tempo,RPSPExRPNOQ_ativado,ref_2020_01,OMDOUxRPPPR_ativado
"2018-10-17 18:09:48","2018-10-17 19:05:35",3347.0,8.75953037297E-05, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2019-11-30 00:00:00","2019-11-30 23:59:59",86399.0,0.00226117318403, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1,1, , , , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1,1, ,1, , , , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-11-30 23:59:59","2019-12-01 00:00:00",1.0,2.61712888347E-08, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , , , , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, , , , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-01 00:00:00","2019-12-01 23:59:59",86399.0,0.00226117318403, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, , , , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1,1, ,1,1, , , , ,1, ,1, ,1
"2019-12-01 23:59:59","2019-12-02 00:00:00",1.0,2.61712888347E-08, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, , , , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-02 00:00:00","2019-12-02 23:59:59",86399.0,0.00226117318403, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, , ,1, , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-02 23:59:59","2019-12-03 00:00:00",1.0,2.61712888347E-08, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, , , , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-03 00:00:00","2019-12-03 02:46:18",9978.0,0.000261137119993, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, ,1, , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-03 02:46:18","2019-12-03 02:47:18",60.0,1.57027733008E-06, , ,1, ,1,1,1, , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, ,1, , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
"2019-12-03 02:47:18","2019-12-03 23:59:59",76361.0,0.00199846578671, , ,1, ,1,1, , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , ,1,1,1,1,1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1, ,1, , , , , , , , , ,1, , , ,1, , ,1,1,1,1, ,1,1, ,1,1, , ,1,1, , , , ,1, ,1, ,1
