dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-11-14 03:28:56.0,2019-11-14 03:32:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 06:38:57.0,2019-11-14 06:42:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 06:44:56.0,2019-11-14 06:49:56.0,300,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 06:59:57.0,2019-11-14 07:02:56.0,179,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 07:29:56.0,2019-11-14 07:38:56.0,540,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 10:59:56.0,2019-11-14 11:05:56.0,360,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 11:15:56.0,2019-11-14 11:19:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-14 11:19:56.0,2019-11-14 11:22:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 13:49:56.0,2019-11-17 13:53:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 13:53:56.0,2019-11-17 13:58:27.0,271,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 14:01:56.0,2019-11-17 14:05:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 14:15:56.0,2019-11-17 14:19:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 14:38:57.0,2019-11-17 14:42:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 15:10:57.0,2019-11-17 15:15:56.0,299,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 15:17:56.0,2019-11-17 15:21:57.0,241,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 15:24:56.0,2019-11-17 15:28:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 15:31:56.0,2019-11-17 15:34:56.0,180,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 16:04:57.0,2019-11-17 16:08:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 16:08:56.0,2019-11-17 16:15:57.0,421,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 16:15:57.0,2019-11-17 16:19:57.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 16:27:56.0,2019-11-17 16:31:57.0,241,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 17:04:56.0,2019-11-17 17:09:26.0,270,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 17:21:57.0,2019-11-17 17:25:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 17:50:57.0,2019-11-17 17:54:56.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 17:54:56.0,2019-11-17 17:57:57.0,181,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 18:10:56.0,2019-11-17 18:14:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-17 18:15:57.0,2019-11-17 18:19:57.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 19:07:56.0,2019-11-27 19:15:56.0,480,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:17:56.0,2019-11-27 20:23:56.0,360,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:23:56.0,2019-11-27 20:27:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:29:27.0,2019-11-27 20:33:26.0,239,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:33:26.0,2019-11-27 20:36:56.0,210,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:47:56.0,2019-11-27 20:51:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 20:51:56.0,2019-11-27 21:01:39.0,583,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-11-27 21:03:56.0,2019-11-27 21:07:56.0,240,MSOMAQD_SWL3,ifOperStatus[Trunk Port ID 0002],
