time_ini,time_end,duration_seg,duration_percent,RPFGR_SColTempo_0001_delta_tempo,ref_Periodo,RPFDIxRPMPX_ativado,RPMRD_SColTempo_0001_delta_tempo,OMCCLxRPATJ_ativado,RPMPX_nOK_0003,RPMRDxRPFGR_ativado,chamados_MSOMJRD,localidade_id_MSOMJRD_1749,RPAMBxRPTCU_ativado,ref_2019_11,ref_2019_10,ref_2019_12,ref_2019_10_31,ref_2019_11_29,ref_2019_11_26,RPNASxRPRBR_ativado,RPPPR_nOK_0004,RPNVL_nOK_0003,OMAQD_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,Chamados_Desconto,RPAMOxRPAMB_ativado,ref_2019_11_12,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,RPTCU_nOK_0001,ref_2019_11_28,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,ref_2019_11_27,ref_2019_11_24,ref_2019_11_25,ref_2019_11_22,ref_2019_11_23,ref_2019_11_20,ref_2019_11_21,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,RPMRD_SColTempo_0003_delta_tempo,ref_2019_11_30,RPRBR_nOK_0002,ref_2019_12_02,RPAMO_nOK_0002,ref_2019_11_08,ref_2019_11_09,ref_2019_11_01,ref_2019_11_02,ref_2019_11_03,ref_2019_11_04,ref_2019_11_05,ref_2019_11_06,ref_2019_11_07,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMPPR_SColTempo_0002_delta_tempo,OMIGTxOMMNO_ativado,OMDOU_nOK_0002,OMDOU_nOK_0001,OMCGRxRPNVL_ativado,RPMRD_SColTempo_0002_delta_tempo,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,ref_2019_11_17,ref_2019_11_16,ref_2019_11_15,ref_2019_11_14,ref_2019_11_13,RPMRDxOMAQD_ativado,ref_2019_11_11,ref_2019_11_10,RPMPXxRPSPE_ativado,ref_2019_11_19,ref_2019_11_18,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,ref_2019_12_01,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPSPExRPNOQ_ativado
"2018-10-17 18:09:48","2018-10-17 19:05:35",3347.0,9.41983418559E-05, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2019-10-31 00:00:00","2019-10-31 12:33:03",45183.0,0.00127163539889, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 12:33:03","2019-10-31 12:34:03",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1,1, ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 12:34:03","2019-10-31 23:59:59",41156.0,0.00115829906108, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 23:59:59","2019-11-01 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1, , , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 00:00:00","2019-11-01 02:00:49",7249.0,0.000204016665705, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 02:00:49","2019-11-01 02:01:49",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , ,1, , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 02:01:49","2019-11-01 23:59:59",79090.0,0.00222591779426, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 23:59:59","2019-11-02 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-02 00:00:00","2019-11-02 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , ,1, , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
