dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-10-04 12:51:41.0,2019-10-04 12:54:38.0,177,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-04 13:50:41.0,2019-10-04 13:54:38.0,237,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-09 16:02:41.0,2019-10-09 16:05:49.0,188,MSRPFGR_SWL3_proxy06,Trunk321,
2019-10-09 16:55:41.0,2019-10-09 16:58:38.0,177,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-09 18:11:57.0,2019-10-09 18:14:41.0,164,MSRPFGR_SWL3_proxy06,Trunk321,
2019-10-09 18:17:49.0,2019-10-09 18:20:41.0,172,MSRPFGR_SWL3_proxy06,Trunk321,
2019-10-10 16:17:49.0,2019-10-10 16:20:38.0,169,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-14 14:42:41.0,2019-10-14 14:45:38.0,177,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-14 15:21:41.0,2019-10-14 15:25:38.0,237,MSRPFGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-10-18 17:20:49.0,2019-10-18 17:24:41.0,232,MSRPFGR_SWL3_proxy06,Trunk321,
