dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-06 04:52:10.0,2017-09-06 04:56:54.0,284,,4,1
2017-09-15 03:47:34.0,2017-09-15 03:48:12.0,38,,4,1
2017-09-15 04:50:29.0,2017-09-15 04:51:12.0,43,,4,1
2017-09-18 06:37:45.0,2017-09-18 06:38:18.0,33,,4,1
2017-09-23 02:10:28.0,2017-09-23 02:11:28.0,60,,4,1
2017-09-23 07:29:40.0,2017-09-23 07:30:28.0,48,,4,1
2017-09-23 08:02:39.0,2017-09-23 08:05:29.0,170,,4,1
2017-10-01 16:19:54.0,2017-10-01 16:21:09.0,75,,4,1
2017-10-01 16:21:45.0,2017-10-01 16:22:45.0,60,,4,1
2017-10-01 16:29:44.0,2017-10-01 16:30:44.0,60,,4,1
2017-10-01 16:34:45.0,2017-10-01 17:04:45.0,1800,,4,1
2017-10-01 17:05:45.0,2017-10-01 17:06:45.0,60,,4,1
2017-10-01 22:02:45.0,2017-10-01 22:03:46.0,61,,4,1
2017-10-02 02:24:46.0,2017-10-02 02:25:46.0,60,,4,1
2017-10-02 02:28:46.0,2017-10-02 02:29:45.0,59,,4,1
2017-10-02 05:49:23.0,2017-10-03 12:28:50.0,110367,,4,1
2017-10-03 13:04:49.0,2017-10-03 19:55:49.0,24660,,4,1
2017-10-12 02:13:35.0,2017-10-12 02:14:05.0,30,,4,1
2017-10-12 02:15:05.0,2017-10-12 02:16:04.0,59,,4,1
2017-10-12 02:20:04.0,2017-10-12 02:21:05.0,61,,4,1
2017-10-12 02:23:40.0,2017-10-12 02:25:04.0,84,,4,1
2017-10-12 02:26:05.0,2017-10-12 02:27:04.0,59,,4,1
2017-10-13 00:26:25.0,2017-10-13 00:28:07.0,102,,4,1
2017-10-18 06:06:17.0,2017-10-18 06:08:16.0,119,,4,1
2017-10-18 06:09:17.0,2017-10-18 06:10:16.0,59,,4,1
2017-10-20 03:05:20.0,2017-10-20 03:06:20.0,60,,4,1
2017-10-20 03:39:29.0,2017-10-20 03:40:20.0,51,,4,1
2017-10-20 04:00:54.0,2017-10-20 04:01:21.0,27,,4,1
2017-10-20 04:08:21.0,2017-10-20 04:09:20.0,59,,4,1
2017-10-20 04:13:20.0,2017-10-20 04:14:21.0,61,,4,1
2017-10-20 04:15:20.0,2017-10-20 04:16:20.0,60,,4,1
2017-10-20 04:24:20.0,2017-10-20 04:25:21.0,61,,4,1
2017-10-20 04:34:20.0,2017-10-20 04:35:21.0,61,,4,1
2017-10-20 04:40:21.0,2017-10-20 04:42:20.0,119,,4,1
2017-10-23 16:01:27.0,2017-10-23 16:02:38.0,71,,4,1
2017-10-27 16:43:00.0,2017-10-27 17:01:35.0,1115,,4,1
2017-10-27 20:42:05.0,2017-10-27 20:42:36.0,31,,4,1
2017-10-27 20:51:52.0,2017-10-27 20:52:49.0,57,,4,1
2017-10-27 21:01:06.0,2017-10-27 21:01:36.0,30,,4,1
2017-10-28 02:28:00.0,2017-10-28 12:41:37.0,36817,,4,1
2017-10-28 14:16:00.0,2017-10-28 14:23:37.0,457,,4,1
2017-10-28 14:35:11.0,2017-10-28 14:36:37.0,86,,4,1
2017-10-31 03:49:26.0,2017-10-31 03:52:42.0,196,,4,1
2017-11-04 12:50:51.0,2017-11-04 12:51:50.0,59,,4,1
2017-11-04 12:58:09.0,2017-11-04 12:58:51.0,42,,4,1
2017-11-04 13:02:16.0,2017-11-04 13:02:51.0,35,,4,1
2017-11-04 13:04:51.0,2017-11-04 13:24:51.0,1200,,4,1
2017-11-04 13:25:51.0,2017-11-04 13:26:51.0,60,,4,1
2017-11-04 13:58:22.0,2017-11-04 14:00:51.0,149,,4,1
2017-11-04 14:02:59.0,2017-11-04 14:03:50.0,51,,4,1
2017-11-08 10:03:59.0,2017-11-08 10:04:59.0,60,,4,1
2017-11-08 11:39:11.0,2017-11-08 11:39:58.0,47,,4,1
2017-11-08 12:30:14.0,2017-11-08 12:30:59.0,45,,4,1
2017-11-08 13:02:21.0,2017-11-08 13:02:59.0,38,,4,1
