dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2018-01-07 15:58:13.0,2018-01-07 20:33:37.0,2018-01-07 20:41:02.0,16969,16524,MSOMCCL_SWL3,445,6500692
2017-10-24 10:23:30.0,2017-10-24 10:30:27.0,2017-10-24 10:32:25.0,535,417,SW01A_MSOMCCL,118,7086435
2017-10-24 15:28:31.0,2017-10-24 15:36:57.0,2017-10-24 15:39:10.0,639,506,SW01A_MSOMCCL,133,17882
2017-10-24 15:39:10.0,2017-10-24 15:41:55.0,2017-10-24 15:43:38.0,268,165,SW01A_MSOMCCL,103,133
2017-10-24 15:48:31.0,2017-10-24 15:49:32.0,2017-10-24 15:53:31.0,300,61,SW01A_MSOMCCL,239,396
2017-10-24 16:08:31.0,2017-10-24 16:11:21.0,2017-10-24 16:13:31.0,300,170,SW01A_MSOMCCL,130,1139
2017-10-24 16:38:31.0,2017-10-24 16:41:57.0,2017-10-24 16:48:31.0,600,206,SW01A_MSOMCCL,394,1630
2018-01-07 15:56:14.0,2018-01-07 20:33:23.0,2018-01-07 20:42:04.0,17150,16629,SW01A_MSOMCCL,521,6477229
2017-10-24 10:28:33.0,2017-10-24 10:34:50.0,2017-10-24 10:38:32.0,599,377,SW01B_MSOMCCL,222,7086762
2018-01-07 15:56:16.0,2018-01-07 20:33:24.0,2018-01-07 20:42:07.0,17151,16628,SW01B_MSOMCCL,523,6499277
2018-01-07 15:56:19.0,2018-01-07 20:33:20.0,2018-01-07 20:42:09.0,17150,16621,RD02_MSOMCCL,529,14960356
2018-01-09 15:22:09.0,2018-01-09 15:26:29.0,2018-01-09 15:28:26.0,377,260,RD02_MSOMCCL,117,154129
2018-01-09 15:28:26.0,2018-01-09 15:32:43.0,2018-01-09 15:37:09.0,523,257,RD02_MSOMCCL,266,117
2018-01-07 15:56:21.0,2018-01-07 20:33:22.0,2018-01-07 20:42:11.0,17150,16621,RD01_MSOMCCL,529,15023648
2018-01-25 11:22:09.0,2018-01-25 11:39:36.0,2018-01-25 11:41:52.0,1183,1047,RD01_MSOMCCL,136,1522127
2018-01-25 12:12:08.0,2018-01-25 12:48:34.0,2018-01-25 12:50:49.0,2321,2186,RD01_MSOMCCL,135,1953
2018-01-25 12:50:49.0,2018-01-25 12:51:28.0,2018-01-25 12:57:09.0,380,39,RD01_MSOMCCL,341,135
2018-01-25 13:32:09.0,2018-01-25 13:33:50.0,2018-01-25 13:37:09.0,300,101,RD01_MSOMCCL,199,2440
2018-01-25 13:37:09.0,2018-01-25 13:39:18.0,2018-01-25 13:42:09.0,300,129,RD01_MSOMCCL,171,199
2018-01-26 15:47:09.0,2018-01-26 15:49:37.0,2018-01-26 15:52:08.0,299,148,RD01_MSOMCCL,151,94071
2018-01-26 15:57:08.0,2018-01-26 16:03:20.0,2018-01-26 16:07:08.0,600,372,RD01_MSOMCCL,228,451
2018-02-10 16:29:00.0,2018-02-10 16:34:04.0,2018-02-10 16:39:01.0,601,304,RD01_MSOMCCL,297,1296525
2017-09-08 13:17:01.0,2017-09-08 13:18:44.0,2017-09-08 13:22:01.0,300,103,RD03_MSOMCCL,197,4561101
2018-01-07 15:56:15.0,2018-01-07 20:33:15.0,2018-01-07 20:42:05.0,17150,16620,RD03_MSOMCCL,530,10460432
2018-01-25 11:32:04.0,2018-01-25 12:51:01.0,2018-01-25 12:53:22.0,4878,4737,RD03_MSOMCCL,141,1522728
2018-01-26 15:47:03.0,2018-01-26 15:49:40.0,2018-01-26 15:57:03.0,600,157,RD03_MSOMCCL,443,96963
2018-01-26 15:57:03.0,2018-01-26 16:02:33.0,2018-01-26 16:05:14.0,491,330,RD03_MSOMCCL,161,443
2017-09-08 13:52:04.0,2017-09-08 13:53:22.0,2017-09-08 13:57:04.0,300,78,RD04_MSOMCCL,222,5961601
2017-11-13 17:24:15.0,2017-11-13 17:29:51.0,2017-11-13 17:32:22.0,487,336,RD04_MSOMCCL,151,5711449
2018-01-07 15:56:19.0,2018-01-07 20:34:08.0,2018-01-07 20:42:09.0,17150,16669,RD04_MSOMCCL,481,4746573
